LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1760385944.928547,1810746.000,35913,3,PI,1,100,147868
1760385944.968548,1810786.000,35913,3,PI,1,100,147908
1760385945.008550,1810826.000,35913,3,PI,1,100,147917
1760385945.048551,1810866.000,35929,2,PI,1,100,147916
1760385945.088552,1810906.000,35929,2,PI,1,100,147900
1760385945.128554,1810946.000,35947,3,PI,1,100,147869
1760385945.168555,1810986.000,35947,3,PI,1,100,147856
1760385945.208557,1811026.000,35947,3,PI,1,100,147841
1760385945.248558,1811066.000,35963,3,PI,1,100,147815
1760385945.288559,1811106.000,35963,3,PI,1,100,147773
1760385945.328561,1811146.000,35963,3,PI,1,100,147745
1760385945.368562,1811186.000,35978,2,PI,1,100,147704
1760385945.408563,1811226.000,35978,2,PI,1,100,147714
1760385945.448565,1811266.000,35995,3,PI,1,100,147772
1760385945.488566,1811306.000,35995,3,PI,1,100,147795
1760385945.528568,1811346.000,35995,3,PI,1,100,147782
1760385945.568569,1811386.000,36014,2,PI,1,100,147779
1760385945.608570,1811426.000,36014,2,PI,1,100,147818
1760385945.648571,1811466.000,36030,3,PI,1,100,147830
1760385945.688573,1811506.000,36030,3,PI,1,100,147881
1760385945.728574,1811546.000,36030,3,PI,1,100,147867
1760385945.768576,1811586.000,36048,2,PI,1,100,147876
1760385945.808577,1811626.000,36048,2,PI,1,100,147883
1760385945.848578,1811666.000,36064,3,PI,1,100,147870
1760385945.888580,1811706.000,36064,3,PI,1,100,147841
1760385945.928581,1811746.000,36064,3,PI,1,100,147843
1760385945.968582,1811786.000,36081,2,PI,1,100,147845
1760385946.008584,1811826.000,36081,2,PI,1,100,147840
1760385946.048585,1811866.000,36097,3,PI,1,100,147819
1760385946.088587,1811906.000,36097,3,PI,1,100,147806
1760385946.128588,1811946.000,36097,3,PI,1,100,147811
1760385946.168589,1811986.000,36117,2,PI,1,100,147831
1760385946.208591,1812026.000,36117,2,PI,1,100,147828
1760385946.248592,1812066.000,36135,3,PI,1,100,147866
1760385946.288593,1812106.000,36135,3,PI,1,100,147857
1760385946.328595,1812146.000,36135,3,PI,1,100,147858
1760385946.368596,1812186.000,36152,2,PI,1,100,147855
1760385946.408597,1812226.000,36152,2,PI,1,100,147907
1760385946.448599,1812266.000,36171,3,PI,1,100,147936
1760385946.488600,1812306.000,36171,3,PI,1,100,147961
1760385946.528602,1812346.000,36171,3,PI,1,100,147970
1760385946.568603,1812386.000,36186,3,PI,1,100,147969
1760385946.608604,1812426.000,36186,3,PI,1,100,147922
1760385946.648606,1812466.000,36186,3,PI,1,100,147879
1760385946.688607,1812506.000,36202,2,PI,1,100,147820
1760385946.728608,1812546.000,36202,2,PI,1,100,147777
1760385946.768610,1812586.000,36220,3,PI,1,100,147741
1760385946.808611,1812626.000,36220,3,PI,1,100,147739
1760385946.848613,1812666.000,36220,3,PI,1,100,147764
1760385946.888614,1812706.000,36236,2,PI,1,100,147784
1760385946.928615,1812746.000,36236,2,PI,1,100,147802
1760385946.968617,1812786.000,36255,3,PI,1,100,147802
1760385947.008618,1812826.000,36255,3,PI,1,100,147849
1760385947.048619,1812866.000,36255,3,PI,1,100,147863
1760385947.088621,1812906.000,36272,2,PI,1,100,147887
1760385947.128622,1812946.000,36272,2,PI,1,100,147907
1760385947.168623,1812986.000,36289,3,PI,1,100,147894
1760385947.208625,1813026.000,36289,3,PI,1,100,147885
1760385947.248626,1813066.000,36289,3,PI,1,100,147885
1760385947.288628,1813106.000,36313,4,PI,1,100,147868
1760385947.328629,1813146.000,36313,4,PI,1,100,147871
1760385947.368630,1813186.000,36313,4,PI,1,100,147879
1760385947.408632,1813226.000,36313,4,PI,1,100,147857
1760385947.448633,1813266.000,36330,3,PI,1,100,147832
1760385947.488634,1813306.000,36330,3,PI,1,100,147806
1760385947.528636,1813346.000,36330,3,PI,1,100,147846
1760385947.568637,1813386.000,36349,3,PI,1,100,147853
1760385947.608639,1813426.000,36349,3,PI,1,100,147872
1760385947.648640,1813466.000,36349,3,PI,1,100,147850
1760385947.688641,1813506.000,36367,2,PI,1,100,147838
1760385947.728642,1813546.000,36367,2,PI,1,100,147842
1760385947.768644,1813586.000,36384,3,PI,1,100,147854
1760385947.808645,1813626.000,36384,3,PI,1,100,147884
1760385947.848647,1813666.000,36384,3,PI,1,100,147934
1760385947.888648,1813706.000,36401,2,PI,1,100,147966
1760385947.928649,1813746.000,36401,2,PI,1,100,147967
1760385947.968651,1813786.000,36418,3,PI,1,100,147958
1760385948.008652,1813826.000,36418,3,PI,1,100,147950
1760385948.048654,1813866.000,36418,3,PI,1,100,147957
1760385948.088655,1813906.000,36435,2,PI,1,100,147933
1760385948.128656,1813946.000,36435,2,PI,1,100,147920
1760385948.168658,1813986.000,36452,3,PI,1,100,147873
1760385948.208659,1814026.000,36452,3,PI,1,100,147816
1760385948.248660,1814066.000,36452,3,PI,1,100,147733
1760385948.288662,1814106.000,36466,2,PI,1,100,147727
1760385948.328663,1814146.000,36466,2,PI,1,100,147778
1760385948.372998,1814190.333,36483,3,PI,1,100,147813
1760385948.417333,1814234.667,36483,3,PI,1,100,147808
1760385948.461668,1814279.000,36483,3,PI,1,100,147831
1760385948.501669,1814319.000,36502,2,PI,1,100,147875
1760385948.541670,1814359.000,36502,2,PI,1,100,147908
1760385948.581672,1814399.000,36521,3,PI,1,100,147924
