LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1760385227.804818,1093618.000,47384,3,GZ,1,100,67.993
1760385227.844816,1093658.000,47384,3,GZ,1,100,54.871
1760385227.884815,1093698.000,47403,2,GZ,1,100,154.053
1760385227.924814,1093738.000,47403,2,GZ,1,100,152.954
1760385227.964813,1093778.000,47418,3,GZ,1,100,75.104
1760385228.004811,1093818.000,47418,3,GZ,1,100,68.329
1760385228.044810,1093858.000,47418,3,GZ,1,100,83.771
1760385228.084808,1093898.000,47437,3,GZ,1,100,72.693
1760385228.124807,1093938.000,47437,3,GZ,1,100,30.792
1760385228.164805,1093978.000,47437,3,GZ,1,100,-10.132
1760385228.197804,1094011.000,47456,2,GZ,1,100,-76.752
1760385228.230803,1094044.000,47456,2,GZ,1,100,-152.618
1760385228.270802,1094084.000,47473,3,GZ,1,100,-162.079
1760385228.310801,1094124.000,47473,3,GZ,1,100,-155.701
1760385228.350799,1094164.000,47473,3,GZ,1,100,-126.465
1760385228.390798,1094204.000,47487,2,GZ,1,100,-92.224
1760385228.430796,1094244.000,47487,2,GZ,1,100,-69.244
1760385228.470795,1094284.000,47505,3,GZ,1,100,-16.846
1760385228.510793,1094324.000,47505,3,GZ,1,100,23.163
1760385228.550792,1094364.000,47505,3,GZ,1,100,30.365
1760385228.590791,1094404.000,47523,3,GZ,1,100,62.653
1760385228.630790,1094444.000,47523,3,GZ,1,100,78.003
1760385228.670788,1094484.000,47523,3,GZ,1,100,184.937
1760385228.710787,1094524.000,47542,2,GZ,1,100,137.177
1760385228.750785,1094564.000,47542,2,GZ,1,100,60.333
1760385228.790784,1094604.000,47556,3,GZ,1,100,94.574
1760385228.830782,1094644.000,47556,3,GZ,1,100,108.643
1760385228.870781,1094684.000,47556,3,GZ,1,100,101.288
1760385228.910780,1094724.000,47574,2,GZ,1,100,55.542
1760385228.950778,1094764.000,47574,2,GZ,1,100,6.653
1760385228.990777,1094804.000,47592,3,GZ,1,100,-47.516
1760385229.030776,1094844.000,47592,3,GZ,1,100,-140.411
1760385229.070774,1094884.000,47592,3,GZ,1,100,-194.550
