LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1760381630.674192,935559.000,21580,3,PI,1,100,156556
1760381630.714192,935599.000,21580,3,PI,1,100,156560
1760381630.754191,935639.000,21598,2,PI,1,100,156568
1760381630.794190,935679.000,21598,2,PI,1,100,156572
1760381630.834189,935719.000,21614,3,PI,1,100,156565
1760381630.874189,935759.000,21614,3,PI,1,100,156540
1760381630.914188,935799.000,21614,3,PI,1,100,156520
1760381630.954187,935839.000,21631,2,PI,1,100,156515
1760381630.994186,935879.000,21631,2,PI,1,100,156469
1760381631.034186,935919.000,21648,3,PI,1,100,156445
1760381631.074185,935959.000,21648,3,PI,1,100,156457
1760381631.114184,935999.000,21648,3,PI,1,100,156457
1760381631.154183,936039.000,21665,2,PI,1,100,156473
1760381631.194183,936079.000,21665,2,PI,1,100,156555
1760381631.234182,936119.000,21683,3,PI,1,100,156624
1760381631.274181,936159.000,21683,3,PI,1,100,156611
1760381631.314181,936199.000,21683,3,PI,1,100,156632
1760381631.354180,936239.000,21701,3,PI,1,100,156690
1760381631.394179,936279.000,21701,3,PI,1,100,156696
1760381631.434178,936319.000,21701,3,PI,1,100,156685
1760381631.474178,936359.000,21715,2,PI,1,100,156682
1760381631.514177,936399.000,21715,2,PI,1,100,156635
1760381631.554176,936439.000,21732,3,PI,1,100,156619
1760381631.594175,936479.000,21732,3,PI,1,100,156621
1760381631.634175,936519.000,21732,3,PI,1,100,156613
1760381631.674174,936559.000,21751,2,PI,1,100,156628
1760381631.714173,936599.000,21751,2,PI,1,100,156633
1760381631.754172,936639.000,21770,3,PI,1,100,156622
1760381631.794172,936679.000,21770,3,PI,1,100,156637
1760381631.834171,936719.000,21770,3,PI,1,100,156723
1760381631.874170,936759.000,21786,2,PI,1,100,156734
1760381631.914169,936799.000,21786,2,PI,1,100,156713
1760381631.954169,936839.000,21803,3,PI,1,100,156722
1760381631.994168,936879.000,21803,3,PI,1,100,156753
1760381632.034167,936919.000,21803,3,PI,1,100,156737
1760381632.074167,936959.000,21822,2,PI,1,100,156735
1760381632.114166,936999.000,21822,2,PI,1,100,156697
1760381632.154165,937039.000,21839,3,PI,1,100,156649
1760381632.194164,937079.000,21839,3,PI,1,100,156609
1760381632.234164,937119.000,21839,3,PI,1,100,156608
1760381632.274163,937159.000,21856,3,PI,1,100,156580
1760381632.314162,937199.000,21856,3,PI,1,100,156589
1760381632.354161,937239.000,21856,3,PI,1,100,156599
1760381632.394161,937279.000,21873,2,PI,1,100,156591
1760381632.434160,937319.000,21873,2,PI,1,100,156671
1760381632.474159,937359.000,21893,3,PI,1,100,156718
1760381632.514158,937399.000,21893,3,PI,1,100,156677
1760381632.554157,937439.000,21893,3,PI,1,100,156695
1760381632.594157,937479.000,21910,2,PI,1,100,156761
1760381632.634156,937519.000,21910,2,PI,1,100,156785
1760381632.674155,937559.000,21926,3,PI,1,100,156734
1760381632.714154,937599.000,21926,3,PI,1,100,156743
1760381632.754154,937639.000,21926,3,PI,1,100,156760
1760381632.794153,937679.000,21944,2,PI,1,100,156733
1760381632.834152,937719.000,21944,2,PI,1,100,156707
1760381632.874151,937759.000,21960,3,PI,1,100,156706
1760381632.914151,937799.000,21960,3,PI,1,100,156691
1760381632.954150,937839.000,21960,3,PI,1,100,156702
1760381632.994149,937879.000,21983,3,PI,1,100,156652
1760381633.034149,937919.000,21983,3,PI,1,100,156701
1760381633.074148,937959.000,21983,3,PI,1,100,156757
1760381633.114147,937999.000,22003,2,PI,1,100,156747
1760381633.154146,938039.000,22003,2,PI,1,100,156731
1760381633.200645,938085.500,22018,2,PI,1,100,156792
1760381633.247145,938132.000,22018,2,PI,1,100,156849
1760381633.287144,938172.000,22034,3,PI,1,100,156816
1760381633.327143,938212.000,22034,3,PI,1,100,156779
1760381633.367142,938252.000,22034,3,PI,1,100,156718
1760381633.407142,938292.000,22052,2,PI,1,100,156696
1760381633.447141,938332.000,22052,2,PI,1,100,156672
1760381633.487140,938372.000,22068,3,PI,1,100,156675
1760381633.527139,938412.000,22068,3,PI,1,100,156664
1760381633.567139,938452.000,22068,3,PI,1,100,156679
1760381633.607138,938492.000,22085,2,PI,1,100,156664
1760381633.647137,938532.000,22085,2,PI,1,100,156677
1760381633.687136,938572.000,22104,3,PI,1,100,156774
1760381633.727136,938612.000,22104,3,PI,1,100,156799
1760381633.767135,938652.000,22104,3,PI,1,100,156782
1760381633.807134,938692.000,22121,3,PI,1,100,156786
1760381633.847134,938732.000,22121,3,PI,1,100,156837
1760381633.887133,938772.000,22121,3,PI,1,100,156836
1760381633.927132,938812.000,22137,2,PI,1,100,156824
1760381633.967131,938852.000,22137,2,PI,1,100,156808
1760381634.007131,938892.000,22156,3,PI,1,100,156784
1760381634.047130,938932.000,22156,3,PI,1,100,156751
1760381634.087129,938972.000,22156,3,PI,1,100,156726
1760381634.127128,939012.000,22171,2,PI,1,100,156708
1760381634.167128,939052.000,22171,2,PI,1,100,156694
1760381634.207127,939092.000,22190,3,PI,1,100,156656
1760381634.247126,939132.000,22190,3,PI,1,100,156680
1760381634.287125,939172.000,22190,3,PI,1,100,156758
1760381634.327125,939212.000,22209,2,PI,1,100,156761
1760381634.367124,939252.000,22209,2,PI,1,100,156766
1760381634.407123,939292.000,22226,3,PI,1,100,156767
1760381634.447122,939332.000,22226,3,PI,1,100,156753
1760381634.487122,939372.000,22226,3,PI,1,100,156762
1760381634.527121,939412.000,22240,2,PI,1,100,156770
1760381634.567120,939452.000,22240,2,PI,1,100,156742
1760381634.607119,939492.000,22257,3,PI,1,100,156702
1760381634.647119,939532.000,22257,3,PI,1,100,156673
1760381634.687118,939572.000,22257,3,PI,1,100,156644
1760381634.727117,939612.000,22276,2,PI,1,100,156595
1760381634.767117,939652.000,22276,2,PI,1,100,156591
1760381634.807116,939692.000,22293,3,PI,1,100,156559
1760381634.847115,939732.000,22293,3,PI,1,100,156557
1760381634.887114,939772.000,22293,3,PI,1,100,156552
1760381634.927114,939812.000,22309,2,PI,1,100,156571
1760381634.967113,939852.000,22309,2,PI,1,100,156586
1760381635.007112,939892.000,22327,3,PI,1,100,156513
1760381635.047111,939932.000,22327,3,PI,1,100,156505
1760381635.087111,939972.000,22327,3,PI,1,100,156541
1760381635.127110,940012.000,22345,3,PI,1,100,156589
1760381635.167109,940052.000,22345,3,PI,1,100,156583
1760381635.207108,940092.000,22345,3,PI,1,100,156572
1760381635.247108,940132.000,22362,2,PI,1,100,156535
1760381635.287107,940172.000,22362,2,PI,1,100,156528
1760381635.327106,940212.000,22379,3,PI,1,100,156535
1760381635.367105,940252.000,22379,3,PI,1,100,156524
1760381635.407104,940292.000,22379,3,PI,1,100,156527
1760381635.447104,940332.000,22396,2,PI,1,100,156515
1760381635.487103,940372.000,22396,2,PI,1,100,156507
1760381635.527102,940412.000,22416,3,PI,1,100,156562
1760381635.567102,940452.000,22416,3,PI,1,100,156579
1760381635.607101,940492.000,22416,3,PI,1,100,156613
1760381635.647100,940532.000,22433,2,PI,1,100,156663
1760381635.687099,940572.000,22433,2,PI,1,100,156676
1760381635.727099,940612.000,22448,3,PI,1,100,156690
1760381635.767098,940652.000,22448,3,PI,1,100,156682
