LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1760380770.081569,74965.000,10269,2,GZ,1,100,-0.732
1760380770.121568,75005.000,10269,2,GZ,1,100,21.637
1760380770.161567,75045.000,10285,3,GZ,1,100,15.869
1760380770.201566,75085.000,10285,3,GZ,1,100,18.311
1760380770.241565,75125.000,10285,3,GZ,1,100,16.541
1760380770.281564,75165.000,10302,2,GZ,1,100,-6.012
1760380770.321564,75205.000,10302,2,GZ,1,100,12.573
1760380770.361563,75245.000,10316,3,GZ,1,100,49.347
1760380770.401562,75285.000,10316,3,GZ,1,100,63.721
1760380770.441561,75325.000,10316,3,GZ,1,100,45.990
1760380770.481560,75365.000,10334,2,GZ,1,100,21.515
1760380770.521559,75405.000,10334,2,GZ,1,100,-17.426
1760380770.561559,75445.000,10350,3,GZ,1,100,-58.777
1760380770.601558,75485.000,10350,3,GZ,1,100,-113.525
1760380770.641557,75525.000,10350,3,GZ,1,100,-112.305
1760380770.681556,75565.000,10369,2,GZ,1,100,-13.580
1760380770.721555,75605.000,10369,2,GZ,1,100,-7.599
1760380770.761555,75645.000,10384,3,GZ,1,100,-24.384
1760380770.801554,75685.000,10384,3,GZ,1,100,-7.629
1760380770.841553,75725.000,10384,3,GZ,1,100,-3.387
1760380770.881552,75765.000,10401,3,GZ,1,100,0.244
1760380770.921551,75805.000,10401,3,GZ,1,100,8.301
1760380770.961550,75845.000,10401,3,GZ,1,100,-3.784
1760380771.001550,75885.000,10417,2,GZ,1,100,40.680
1760380771.041549,75925.000,10417,2,GZ,1,100,55.908
1760380771.081548,75965.000,10437,3,GZ,1,100,53.711
1760380771.121547,76005.000,10437,3,GZ,1,100,44.281
1760380771.161546,76045.000,10437,3,GZ,1,100,18.616
1760380771.201545,76085.000,10451,2,GZ,1,100,-23.560
1760380771.241545,76125.000,10451,2,GZ,1,100,-34.485
1760380771.281544,76165.000,10468,3,GZ,1,100,-63.049
1760380771.321543,76205.000,10468,3,GZ,1,100,-13.214
1760380771.361542,76245.000,10468,3,GZ,1,100,23.560
1760380771.401541,76285.000,10484,2,GZ,1,100,15.869
1760380771.441540,76325.000,10484,2,GZ,1,100,25.940
1760380771.481540,76365.000,10502,3,GZ,1,100,28.961
1760380771.521539,76405.000,10502,3,GZ,1,100,16.998
1760380771.561538,76445.000,10502,3,GZ,1,100,16.968
1760380771.601537,76485.000,10516,2,GZ,1,100,17.242
1760380771.641536,76525.000,10516,2,GZ,1,100,10.742
1760380771.681535,76565.000,10533,3,GZ,1,100,48.004
1760380771.721535,76605.000,10533,3,GZ,1,100,57.465
1760380771.761534,76645.000,10533,3,GZ,1,100,61.523
1760380771.801533,76685.000,10550,2,GZ,1,100,49.988
1760380771.841532,76725.000,10550,2,GZ,1,100,18.250
1760380771.881531,76765.000,10567,3,GZ,1,100,-32.806
1760380771.921530,76805.000,10567,3,GZ,1,100,-66.742
1760380771.961530,76845.000,10567,3,GZ,1,100,-94.727
1760380772.001529,76885.000,10582,2,GZ,1,100,-57.770
1760380772.041528,76925.000,10582,2,GZ,1,100,-1.648
1760380772.076861,76960.333,10601,3,GZ,1,100,2.289
1760380772.112193,76995.667,10601,3,GZ,1,100,-2.747
1760380772.147526,77031.000,10601,3,GZ,1,100,1.404
1760380772.187525,77071.000,10619,3,GZ,1,100,-1.160
1760380772.227524,77111.000,10619,3,GZ,1,100,-6.195
1760380772.267524,77151.000,10619,3,GZ,1,100,17.273
1760380772.307523,77191.000,10636,2,GZ,1,100,0.122
1760380772.347522,77231.000,10636,2,GZ,1,100,28.625
1760380772.387521,77271.000,10653,3,GZ,1,100,63.019
1760380772.427520,77311.000,10653,3,GZ,1,100,78.766
1760380772.467519,77351.000,10653,3,GZ,1,100,57.831
1760380772.507519,77391.000,10670,2,GZ,1,100,31.250
1760380772.547518,77431.000,10670,2,GZ,1,100,-3.143
1760380772.587517,77471.000,10686,3,GZ,1,100,-50.415
1760380772.627516,77511.000,10686,3,GZ,1,100,-81.909
1760380772.667515,77551.000,10686,3,GZ,1,100,-93.292
1760380772.707514,77591.000,10705,2,GZ,1,100,-21.912
1760380772.747514,77631.000,10705,2,GZ,1,100,5.157
1760380772.787513,77671.000,10722,3,GZ,1,100,1.129
1760380772.827512,77711.000,10722,3,GZ,1,100,9.888
