LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1760385440.902581,1306717.000,17659,1,HR,1,100,99.08
1760385441.475579,1307290.000,17748,1,HR,1,100,100.87
1760385442.035577,1307850.000,17851,1,HR,1,100,102.27
1760385442.715575,1308530.000,17970,1,HR,1,100,99.15
1760385443.195574,1309010.000,18039,1,HR,1,100,104.89
1760385443.715572,1309530.000,18126,1,HR,1,100,107.22
1760385444.314570,1310129.000,18229,1,HR,1,100,105.62
1760385444.835568,1310650.000,18315,1,HR,1,100,107.79
1760385445.475566,1311290.000,18434,1,HR,1,100,104.67
1760385446.274564,1312089.000,18578,1,HR,1,100,98.08
1760385446.754562,1312569.000,18645,1,HR,1,100,104.06
1760385447.354560,1313169.000,18748,1,HR,1,100,103.16
1760385448.034558,1313849.000,18863,1,HR,1,100,99.84
1760385448.794556,1314609.000,18981,1,HR,1,100,95.20
1760385449.274554,1315089.000,19066,1,HR,1,100,101.82
1760385449.874552,1315689.000,19173,1,HR,1,100,101.42
1760385450.727550,1316542.000,19325,1,HR,1,100,94.75
1760385451.247548,1317062.000,19417,1,HR,1,100,99.34
1760385451.927546,1317742.000,19502,1,HR,1,100,96.87
1760385452.607544,1318422.000,19619,1,HR,1,100,94.95
1760385453.407541,1319222.000,19755,1,HR,1,100,90.52
1760385453.927540,1319742.000,19840,1,HR,1,100,96.04
1760385454.647537,1320462.000,19961,1,HR,1,100,93.22
1760385455.367535,1321182.000,20082,1,HR,1,100,91.02
1760385455.887533,1321702.000,20167,1,HR,1,100,96.44
1760385456.487531,1322302.000,20278,1,HR,1,100,97.23
1760385457.127529,1322942.000,20397,1,HR,1,100,96.46
1760385457.846527,1323661.000,20517,1,HR,1,100,93.54
1760385458.406525,1324221.000,20602,1,HR,1,100,96.56
1760385459.006523,1324821.000,20706,1,HR,1,100,97.33
1760385459.726521,1325541.000,20824,1,HR,1,100,94.22
1760385460.246520,1326061.000,20909,1,HR,1,100,98.92
1760385461.739515,1327554.000,21173,1,HR,1,100,85.95
1760385462.339513,1328154.000,21274,1,HR,1,100,89.07
1760385463.179510,1328994.000,21408,1,HR,1,100,85.15
1760385463.779508,1329594.000,21513,1,HR,1,100,88.45
1760385464.459506,1330274.000,21632,1,HR,1,100,88.40
1760385465.299504,1331114.000,21767,1,HR,1,100,84.63
1760385465.779502,1331594.000,21853,1,HR,1,100,93.60
1760385466.539500,1332354.000,21970,1,HR,1,100,90.34
1760385467.179497,1332994.000,22080,1,HR,1,100,91.10
1760385467.739496,1333554.000,22183,1,HR,1,100,94.67
1760385468.419494,1334234.000,22301,1,HR,1,100,93.24
1760385469.259491,1335074.000,22436,1,HR,1,100,88.39
1760385469.739490,1335554.000,22521,1,HR,1,100,96.53
1760385470.392487,1336207.000,22626,1,HR,1,100,95.91
1760385471.112485,1336927.000,22744,1,HR,1,100,93.11
1760385471.712483,1337527.000,22847,1,HR,1,100,94.64
1760385472.352481,1338167.000,22953,1,HR,1,100,94.45
1760385473.072479,1338887.000,23072,1,HR,1,100,91.98
