LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1760384803.234174,669046.667,42518,3,MX,1,100,-58
1760384803.274506,669087.000,42518,3,MX,1,100,-57
1760384803.314004,669126.500,42534,2,MX,1,100,-58
1760384803.353503,669166.000,42534,2,MX,1,100,-58
1760384803.393502,669206.000,42551,3,MX,1,100,-58
1760384803.433501,669246.000,42551,3,MX,1,100,-58
1760384803.473500,669286.000,42551,3,MX,1,100,-58
1760384803.513498,669326.000,42565,2,MX,1,100,-58
1760384803.553497,669366.000,42565,2,MX,1,100,-58
1760384803.593496,669406.000,42583,3,MX,1,100,-58
1760384803.633494,669446.000,42583,3,MX,1,100,-59
1760384803.673493,669486.000,42583,3,MX,1,100,-59
1760384803.713492,669526.000,42599,3,MX,1,100,-58
1760384803.753490,669566.000,42599,3,MX,1,100,-57
1760384803.793489,669606.000,42599,3,MX,1,100,-59
1760384803.833488,669646.000,42616,2,MX,1,100,-58
1760384803.873487,669686.000,42616,2,MX,1,100,-58
1760384803.913485,669726.000,42632,3,MX,1,100,-58
1760384803.953484,669766.000,42632,3,MX,1,100,-58
1760384803.993483,669806.000,42632,3,MX,1,100,-57
1760384804.033482,669846.000,42648,2,MX,1,100,-58
1760384804.073480,669886.000,42648,2,MX,1,100,-58
1760384804.109146,669921.667,42664,3,MX,1,100,-59
1760384804.144811,669957.333,42664,3,MX,1,100,-59
1760384804.180477,669993.000,42664,3,MX,1,100,-58
1760384804.220476,670033.000,42684,3,MX,1,100,-59
1760384804.260474,670073.000,42684,3,MX,1,100,-60
1760384804.300473,670113.000,42684,3,MX,1,100,-59
1760384804.340472,670153.000,42700,2,MX,1,100,-60
1760384804.380471,670193.000,42700,2,MX,1,100,-59
1760384804.420469,670233.000,42715,3,MX,1,100,-59
1760384804.460468,670273.000,42715,3,MX,1,100,-58
1760384804.500467,670313.000,42715,3,MX,1,100,-59
1760384804.540465,670353.000,42732,2,MX,1,100,-60
1760384804.580464,670393.000,42732,2,MX,1,100,-60
1760384804.620463,670433.000,42749,3,MX,1,100,-59
1760384804.660462,670473.000,42749,3,MX,1,100,-60
1760384804.700460,670513.000,42749,3,MX,1,100,-60
1760384804.740459,670553.000,42765,2,MX,1,100,-60
1760384804.780458,670593.000,42765,2,MX,1,100,-60
1760384804.820457,670633.000,42780,3,MX,1,100,-59
1760384804.860455,670673.000,42780,3,MX,1,100,-59
1760384804.900454,670713.000,42780,3,MX,1,100,-60
1760384804.940453,670753.000,42797,3,MX,1,100,-59
1760384804.980451,670793.000,42797,3,MX,1,100,-59
1760384805.020450,670833.000,42797,3,MX,1,100,-58
1760384805.060449,670873.000,42814,2,MX,1,100,-59
1760384805.100447,670913.000,42814,2,MX,1,100,-58
1760384805.140446,670953.000,42830,3,MX,1,100,-59
1760384805.180445,670993.000,42830,3,MX,1,100,-59
1760384805.220444,671033.000,42830,3,MX,1,100,-60
1760384805.260442,671073.000,42846,2,MX,1,100,-59
1760384805.300441,671113.000,42846,2,MX,1,100,-59
1760384805.340440,671153.000,42862,3,MX,1,100,-59
1760384805.380439,671193.000,42862,3,MX,1,100,-59
1760384805.420437,671233.000,42862,3,MX,1,100,-59
1760384805.460436,671273.000,42879,2,MX,1,100,-60
1760384805.500435,671313.000,42879,2,MX,1,100,-59
1760384805.540433,671353.000,42896,3,MX,1,100,-59
1760384805.580432,671393.000,42896,3,MX,1,100,-58
1760384805.620431,671433.000,42896,3,MX,1,100,-59
1760384805.660430,671473.000,42911,2,MX,1,100,-58
1760384805.700428,671513.000,42911,2,MX,1,100,-59
1760384805.740427,671553.000,42927,3,MX,1,100,-59
1760384805.780426,671593.000,42927,3,MX,1,100,-59
1760384805.820425,671633.000,42927,3,MX,1,100,-60
1760384805.860423,671673.000,42944,2,MX,1,100,-60
1760384805.900422,671713.000,42944,2,MX,1,100,-59
1760384805.940421,671753.000,42961,3,MX,1,100,-59
1760384805.980419,671793.000,42961,3,MX,1,100,-59
