LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1760386430.119141,2295938.000,50631,1,BI,1,100,600
1760386430.679132,2296498.000,50731,1,BI,1,100,560
1760386431.198124,2297017.000,50817,1,BI,1,100,520
1760386431.958112,2297777.000,50949,1,BI,1,100,760
1760386432.598101,2298417.000,51050,1,BI,1,100,640
1760386433.158092,2298977.000,51133,1,BI,1,100,560
1760386433.638084,2299457.000,51223,1,BI,1,100,480
1760386434.398072,2300217.000,51338,1,BI,1,100,760
1760386435.051062,2300870.000,51439,1,BI,1,100,640
1760386435.571054,2301390.000,51539,1,BI,1,100,520
1760386436.051046,2301870.000,51607,1,BI,1,100,480
1760386436.651036,2302470.000,51708,1,BI,1,100,600
1760386437.451023,2303270.000,51840,1,BI,1,100,800
1760386438.051013,2303870.000,51941,1,BI,1,100,600
1760386438.531006,2304350.000,52029,1,BI,1,100,480
1760386439.090997,2304910.000,52112,1,BI,1,100,560
1760386439.890984,2305710.000,52245,1,BI,1,100,800
1760386440.490974,2306310.000,52344,1,BI,1,100,600
1760386440.970967,2306790.000,52411,1,BI,1,100,480
1760386441.650956,2307470.000,52531,1,BI,1,100,680
1760386442.290945,2308110.000,52630,1,BI,1,100,640
1760386442.890936,2308710.000,52731,1,BI,1,100,600
1760386443.410927,2309230.000,52814,1,BI,1,100,520
