LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1760380450.281931,465153.000,9641,2,AZ,1,100,0.214
1760380450.321928,465193.000,9641,2,AZ,1,100,0.230
1760380450.361926,465233.000,9659,3,AZ,1,100,0.243
1760380450.401923,465273.000,9659,3,AZ,1,100,0.242
1760380450.441921,465313.000,9659,3,AZ,1,100,0.272
1760380450.481919,465353.000,9673,2,AZ,1,100,0.208
1760380450.521916,465393.000,9673,2,AZ,1,100,0.109
1760380450.561914,465433.000,9690,3,AZ,1,100,0.058
1760380450.601911,465473.000,9690,3,AZ,1,100,0.056
1760380450.641909,465513.000,9690,3,AZ,1,100,0.172
1760380450.681906,465553.000,9706,3,AZ,1,100,0.218
1760380450.721904,465593.000,9706,3,AZ,1,100,0.239
1760380450.761902,465633.000,9706,3,AZ,1,100,0.226
1760380450.801899,465673.000,9724,2,AZ,1,100,0.285
1760380450.841897,465713.000,9724,2,AZ,1,100,0.296
1760380450.881894,465753.000,9738,3,AZ,1,100,0.300
1760380450.921892,465793.000,9738,3,AZ,1,100,0.274
1760380450.961890,465833.000,9738,3,AZ,1,100,0.260
1760380451.001887,465873.000,9755,2,AZ,1,100,0.260
1760380451.041885,465913.000,9755,2,AZ,1,100,0.249
1760380451.081882,465953.000,9772,3,AZ,1,100,0.261
1760380451.121880,465993.000,9772,3,AZ,1,100,0.185
1760380451.161877,466033.000,9772,3,AZ,1,100,0.184
1760380451.201875,466073.000,9789,2,AZ,1,100,0.169
1760380451.241873,466113.000,9789,2,AZ,1,100,0.139
1760380451.281870,466153.000,9803,3,AZ,1,100,0.123
1760380451.321868,466193.000,9803,3,AZ,1,100,0.138
1760380451.361865,466233.000,9803,3,AZ,1,100,0.136
1760380451.401863,466273.000,9823,2,AZ,1,100,0.133
1760380451.441860,466313.000,9823,2,AZ,1,100,0.142
1760380451.481858,466353.000,9839,3,AZ,1,100,0.152
1760380451.521856,466393.000,9839,3,AZ,1,100,0.186
1760380451.561853,466433.000,9839,3,AZ,1,100,0.256
1760380451.601851,466473.000,9856,2,AZ,1,100,0.250
1760380451.641848,466513.000,9856,2,AZ,1,100,0.302
1760380451.681846,466553.000,9870,3,AZ,1,100,0.306
1760380451.721843,466593.000,9870,3,AZ,1,100,0.263
1760380451.761841,466633.000,9870,3,AZ,1,100,0.266
1760380451.801839,466673.000,9888,3,AZ,1,100,0.141
1760380451.841836,466713.000,9888,3,AZ,1,100,0.180
1760380451.881834,466753.000,9888,3,AZ,1,100,0.112
1760380451.921831,466793.000,9904,2,AZ,1,100,0.181
1760380451.961829,466833.000,9904,2,AZ,1,100,0.267
1760380452.001827,466873.000,9923,3,AZ,1,100,0.314
1760380452.041824,466913.000,9923,3,AZ,1,100,0.344
1760380452.081822,466953.000,9923,3,AZ,1,100,0.349
1760380452.121819,466993.000,9939,2,AZ,1,100,0.337
1760380452.161817,467033.000,9939,2,AZ,1,100,0.325
1760380452.201815,467073.000,9957,3,AZ,1,100,0.313
1760380452.241812,467113.000,9957,3,AZ,1,100,0.301
1760380452.281810,467153.000,9957,3,AZ,1,100,0.312
1760380452.321807,467193.000,9978,2,AZ,1,100,0.324
1760380452.361805,467233.000,9978,2,AZ,1,100,0.333
1760380452.401803,467273.000,9996,3,AZ,1,100,0.306
1760380452.441800,467313.000,9996,3,AZ,1,100,0.163
1760380452.481798,467353.000,9996,3,AZ,1,100,0.156
1760380452.521795,467393.000,10012,2,AZ,1,100,0.107
1760380452.561793,467433.000,10012,2,AZ,1,100,0.087
1760380452.601790,467473.000,10031,3,AZ,1,100,0.075
1760380452.641788,467513.000,10031,3,AZ,1,100,0.076
1760380452.681786,467553.000,10031,3,AZ,1,100,0.091
1760380452.721783,467593.000,10048,2,AZ,1,100,0.125
1760380452.761781,467633.000,10048,2,AZ,1,100,0.149
1760380452.801778,467673.000,10065,3,AZ,1,100,0.176
1760380452.841776,467713.000,10065,3,AZ,1,100,0.203
1760380452.881773,467753.000,10065,3,AZ,1,100,0.231
1760380452.917105,467788.333,10081,3,AZ,1,100,0.242
1760380452.952436,467823.667,10081,3,AZ,1,100,0.261
1760380452.987767,467859.000,10081,3,AZ,1,100,0.219
1760380453.027765,467899.000,10096,2,AZ,1,100,0.184
1760380453.067762,467939.000,10096,2,AZ,1,100,0.103
1760380453.107760,467979.000,10113,3,AZ,1,100,0.093
1760380453.147757,468019.000,10113,3,AZ,1,100,0.135
1760380453.187755,468059.000,10113,3,AZ,1,100,0.105
1760380453.227752,468099.000,10130,2,AZ,1,100,0.061
1760380453.267750,468139.000,10130,2,AZ,1,100,0.109
1760380453.307748,468179.000,10148,3,AZ,1,100,0.206
1760380453.347745,468219.000,10148,3,AZ,1,100,0.256
1760380453.387743,468259.000,10148,3,AZ,1,100,0.274
1760380453.427741,468299.000,10164,2,AZ,1,100,0.256
1760380453.467738,468339.000,10164,2,AZ,1,100,0.243
1760380453.507736,468379.000,10180,3,AZ,1,100,0.247
1760380453.547733,468419.000,10180,3,AZ,1,100,0.233
1760380453.587731,468459.000,10180,3,AZ,1,100,0.229
1760380453.627728,468499.000,10197,3,AZ,1,100,0.277
1760380453.667726,468539.000,10197,3,AZ,1,100,0.295
1760380453.707724,468579.000,10197,3,AZ,1,100,0.186
1760380453.747721,468619.000,10216,2,AZ,1,100,0.120
1760380453.787719,468659.000,10216,2,AZ,1,100,0.090
1760380453.827716,468699.000,10231,3,AZ,1,100,0.059
1760380453.867714,468739.000,10231,3,AZ,1,100,0.010
1760380453.907712,468779.000,10231,3,AZ,1,100,0.059
1760380453.947709,468819.000,10247,2,AZ,1,100,0.074
1760380453.987707,468859.000,10247,2,AZ,1,100,0.093
1760380454.027704,468899.000,10266,3,AZ,1,100,0.135
1760380454.067702,468939.000,10266,3,AZ,1,100,0.182
1760380454.107699,468979.000,10266,3,AZ,1,100,0.200
1760380454.147697,469019.000,10283,2,AZ,1,100,0.220
1760380454.187695,469059.000,10283,2,AZ,1,100,0.238
1760380454.227692,469099.000,10299,3,AZ,1,100,0.223
1760380454.267690,469139.000,10299,3,AZ,1,100,0.196
1760380454.307687,469179.000,10299,3,AZ,1,100,0.116
1760380454.347685,469219.000,10314,2,AZ,1,100,0.143
1760380454.387682,469259.000,10314,2,AZ,1,100,0.179
1760380454.427680,469299.000,10332,3,AZ,1,100,0.161
1760380454.467678,469339.000,10332,3,AZ,1,100,0.076
1760380454.507675,469379.000,10332,3,AZ,1,100,0.089
1760380454.547673,469419.000,10348,2,AZ,1,100,0.190
1760380454.587670,469459.000,10348,2,AZ,1,100,0.242
1760380454.627668,469499.000,10367,3,AZ,1,100,0.240
1760380454.667665,469539.000,10367,3,AZ,1,100,0.261
1760380454.707663,469579.000,10367,3,AZ,1,100,0.264
1760380454.747661,469619.000,10382,2,AZ,1,100,0.282
1760380454.787658,469659.000,10382,2,AZ,1,100,0.291
1760380454.827656,469699.000,10399,3,AZ,1,100,0.263
1760380454.867653,469739.000,10399,3,AZ,1,100,0.233
1760380454.907651,469779.000,10399,3,AZ,1,100,0.243
1760380454.947649,469819.000,10415,3,AZ,1,100,0.239
1760380454.987646,469859.000,10415,3,AZ,1,100,0.223
1760380455.027644,469899.000,10415,3,AZ,1,100,0.182
1760380455.067641,469939.000,10433,2,AZ,1,100,0.138
1760380455.107639,469979.000,10433,2,AZ,1,100,0.101
1760380455.147636,470019.000,10449,3,AZ,1,100,0.095
1760380455.187634,470059.000,10449,3,AZ,1,100,0.088
1760380455.227632,470099.000,10449,3,AZ,1,100,0.111
1760380455.267629,470139.000,10466,2,AZ,1,100,0.112
1760380455.307627,470179.000,10466,2,AZ,1,100,0.115
1760380455.347625,470219.000,10484,3,AZ,1,100,0.125
1760380455.387622,470259.000,10484,3,AZ,1,100,0.123
1760380455.427620,470299.000,10484,3,AZ,1,100,0.137
1760380455.467617,470339.000,10502,2,AZ,1,100,0.183
1760380455.507615,470379.000,10502,2,AZ,1,100,0.193
1760380455.547612,470419.000,10516,3,AZ,1,100,0.226
1760380455.587610,470459.000,10516,3,AZ,1,100,0.195
1760380455.627608,470499.000,10516,3,AZ,1,100,0.155
1760380455.667605,470539.000,10533,2,AZ,1,100,0.215
1760380455.707603,470579.000,10533,2,AZ,1,100,0.058
1760380455.747600,470619.000,10550,3,AZ,1,100,0.010
1760380455.787598,470659.000,10550,3,AZ,1,100,0.130
1760380455.827595,470699.000,10550,3,AZ,1,100,0.246
1760380455.867593,470739.000,10567,2,AZ,1,100,0.225
1760380455.907591,470779.000,10567,2,AZ,1,100,0.196
1760380455.947588,470819.000,10581,3,AZ,1,100,0.234
1760380455.987586,470859.000,10581,3,AZ,1,100,0.261
1760380456.027583,470899.000,10581,3,AZ,1,100,0.259
1760380456.067581,470939.000,10599,3,AZ,1,100,0.262
1760380456.107579,470979.000,10599,3,AZ,1,100,0.242
1760380456.147576,471019.000,10599,3,AZ,1,100,0.260
1760380456.187574,471059.000,10615,2,AZ,1,100,0.285
1760380456.227571,471099.000,10615,2,AZ,1,100,0.279
1760380456.267569,471139.000,10632,3,AZ,1,100,0.256
1760380456.307566,471179.000,10632,3,AZ,1,100,0.166
1760380456.347564,471219.000,10632,3,AZ,1,100,0.186
1760380456.387562,471259.000,10647,2,AZ,1,100,0.145
1760380456.427559,471299.000,10647,2,AZ,1,100,0.097
1760380456.462890,471334.333,10664,3,AZ,1,100,0.107
1760380456.498222,471369.667,10664,3,AZ,1,100,0.128
1760380456.533553,471405.000,10664,3,AZ,1,100,0.153
1760380456.573550,471445.000,10680,3,AZ,1,100,0.166
1760380456.613548,471485.000,10680,3,AZ,1,100,0.159
1760380456.653546,471525.000,10680,3,AZ,1,100,0.186
1760380456.693543,471565.000,10699,2,AZ,1,100,0.203
1760380456.733541,471605.000,10699,2,AZ,1,100,0.197
1760380456.773538,471645.000,10716,3,AZ,1,100,0.227
1760380456.813536,471685.000,10716,3,AZ,1,100,0.232
1760380456.853534,471725.000,10716,3,AZ,1,100,0.216
1760380456.893531,471765.000,10731,2,AZ,1,100,0.171
1760380456.933529,471805.000,10731,2,AZ,1,100,0.194
1760380456.973526,471845.000,10747,3,AZ,1,100,0.181
1760380457.013524,471885.000,10747,3,AZ,1,100,0.145
1760380457.053521,471925.000,10747,3,AZ,1,100,0.081
1760380457.094019,471965.500,10765,2,AZ,1,100,0.146
1760380457.134516,472006.000,10765,2,AZ,1,100,0.194
1760380457.174181,472045.667,10785,3,AZ,1,100,0.239
1760380457.213845,472085.333,10785,3,AZ,1,100,0.260
1760380457.253509,472125.000,10785,3,AZ,1,100,0.248
1760380457.293507,472165.000,10800,2,AZ,1,100,0.272
1760380457.333504,472205.000,10800,2,AZ,1,100,0.277
1760380457.373502,472245.000,10822,3,AZ,1,100,0.292
1760380457.413500,472285.000,10822,3,AZ,1,100,0.289
1760380457.453497,472325.000,10822,3,AZ,1,100,0.266
1760380457.493495,472365.000,10841,3,AZ,1,100,0.286
1760380457.533492,472405.000,10841,3,AZ,1,100,0.278
1760380457.573490,472445.000,10841,3,AZ,1,100,0.244
1760380457.613487,472485.000,10857,2,AZ,1,100,0.134
1760380457.653485,472525.000,10857,2,AZ,1,100,0.152
1760380457.693483,472565.000,10873,3,AZ,1,100,0.140
1760380457.733480,472605.000,10873,3,AZ,1,100,0.129
1760380457.773478,472645.000,10873,3,AZ,1,100,0.124
1760380457.813475,472685.000,10889,2,AZ,1,100,0.129
