LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1760381799.827317,1104715.000,50240,3,GX,1,100,-141.968
1760381799.867317,1104755.000,50240,3,GX,1,100,-136.414
1760381799.907318,1104795.000,50256,2,GX,1,100,-97.626
1760381799.947318,1104835.000,50256,2,GX,1,100,-66.467
1760381799.987319,1104875.000,50274,3,GX,1,100,-58.075
1760381800.027319,1104915.000,50274,3,GX,1,100,-45.441
1760381800.067320,1104955.000,50274,3,GX,1,100,-19.928
1760381800.107320,1104995.000,50293,2,GX,1,100,-6.653
1760381800.147321,1105035.000,50293,2,GX,1,100,28.442
1760381800.187321,1105075.000,50309,3,GX,1,100,98.785
1760381800.227322,1105115.000,50309,3,GX,1,100,166.473
1760381800.267322,1105155.000,50309,3,GX,1,100,142.731
1760381800.307323,1105195.000,50327,2,GX,1,100,141.998
1760381800.347323,1105235.000,50327,2,GX,1,100,123.260
1760381800.387324,1105275.000,50343,3,GX,1,100,73.669
1760381800.427324,1105315.000,50343,3,GX,1,100,-5.035
1760381800.467325,1105355.000,50343,3,GX,1,100,-36.713
1760381800.507325,1105395.000,50360,2,GX,1,100,-75.623
1760381800.547326,1105435.000,50360,2,GX,1,100,-150.848
1760381800.587326,1105475.000,50376,3,GX,1,100,-165.070
1760381800.627327,1105515.000,50376,3,GX,1,100,-153.748
1760381800.667327,1105555.000,50376,3,GX,1,100,-119.659
1760381800.707328,1105595.000,50396,2,GX,1,100,-97.260
1760381800.747328,1105635.000,50396,2,GX,1,100,-77.087
1760381800.787329,1105675.000,50410,3,GX,1,100,-58.777
1760381800.827329,1105715.000,50410,3,GX,1,100,-40.405
1760381800.867330,1105755.000,50410,3,GX,1,100,-33.020
1760381800.907330,1105795.000,50429,3,GX,1,100,-10.773
1760381800.947331,1105835.000,50429,3,GX,1,100,57.556
1760381800.987331,1105875.000,50429,3,GX,1,100,183.075
1760381801.027332,1105915.000,50446,2,GX,1,100,145.111
1760381801.067332,1105955.000,50446,2,GX,1,100,136.963
1760381801.107333,1105995.000,50465,3,GX,1,100,111.725
1760381801.147333,1106035.000,50465,3,GX,1,100,82.520
1760381801.187334,1106075.000,50465,3,GX,1,100,64.178
1760381801.227334,1106115.000,50479,2,GX,1,100,-5.188
1760381801.267335,1106155.000,50479,2,GX,1,100,-102.081
1760381801.307335,1106195.000,50499,3,GX,1,100,-167.603
1760381801.347336,1106235.000,50499,3,GX,1,100,-139.282
1760381801.387336,1106275.000,50499,3,GX,1,100,-105.560
1760381801.427337,1106315.000,50515,2,GX,1,100,-76.508
