LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1760384207.400568,73213.000,9884,3,MX,1,100,-44
1760384207.440568,73253.000,9884,3,MX,1,100,-44
1760384207.480568,73293.000,9900,2,MX,1,100,-44
1760384207.520568,73333.000,9900,2,MX,1,100,-43
1760384207.560568,73373.000,9915,3,MX,1,100,-43
1760384207.600568,73413.000,9915,3,MX,1,100,-43
1760384207.640568,73453.000,9915,3,MX,1,100,-41
1760384207.680568,73493.000,9932,2,MX,1,100,-43
1760384207.720567,73533.000,9932,2,MX,1,100,-40
1760384207.760567,73573.000,9949,3,MX,1,100,-40
1760384207.800567,73613.000,9949,3,MX,1,100,-40
1760384207.840567,73653.000,9949,3,MX,1,100,-38
1760384207.880567,73693.000,9965,2,MX,1,100,-39
1760384207.920567,73733.000,9965,2,MX,1,100,-38
1760384207.960567,73773.000,9981,3,MX,1,100,-38
1760384208.000566,73813.000,9981,3,MX,1,100,-38
1760384208.040566,73853.000,9981,3,MX,1,100,-38
1760384208.080566,73893.000,9997,2,MX,1,100,-39
1760384208.120566,73933.000,9997,2,MX,1,100,-39
1760384208.160566,73973.000,10014,3,MX,1,100,-40
1760384208.200566,74013.000,10014,3,MX,1,100,-38
1760384208.240566,74053.000,10014,3,MX,1,100,-38
1760384208.280566,74093.000,10031,2,MX,1,100,-38
1760384208.320565,74133.000,10031,2,MX,1,100,-37
1760384208.360565,74173.000,10046,3,MX,1,100,-38
1760384208.400565,74213.000,10046,3,MX,1,100,-38
1760384208.440565,74253.000,10046,3,MX,1,100,-38
1760384208.480065,74292.500,10069,2,MX,1,100,-38
1760384208.519565,74332.000,10069,2,MX,1,100,-38
1760384208.559898,74372.333,10086,3,MX,1,100,-39
1760384208.600231,74412.667,10086,3,MX,1,100,-40
1760384208.640565,74453.000,10086,3,MX,1,100,-40
1760384208.680064,74492.500,10103,2,MX,1,100,-40
1760384208.719564,74532.000,10103,2,MX,1,100,-38
1760384208.759564,74572.000,10119,3,MX,1,100,-40
1760384208.799564,74612.000,10119,3,MX,1,100,-40
1760384208.839564,74652.000,10119,3,MX,1,100,-40
1760384208.879564,74692.000,10134,3,MX,1,100,-39
1760384208.919564,74732.000,10134,3,MX,1,100,-40
1760384208.959564,74772.000,10134,3,MX,1,100,-38
1760384208.999564,74812.000,10154,2,MX,1,100,-40
