LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1760385949.661709,1815479.000,36704,2,MZ,1,100,20
1760385949.697043,1815514.333,36720,3,MZ,1,100,20
1760385949.732378,1815549.667,36720,3,MZ,1,100,21
1760385949.767712,1815585.000,36720,3,MZ,1,100,20
1760385949.807714,1815625.000,36738,3,MZ,1,100,20
1760385949.847715,1815665.000,36738,3,MZ,1,100,21
1760385949.887716,1815705.000,36738,3,MZ,1,100,20
1760385949.927718,1815745.000,36752,2,MZ,1,100,20
1760385949.967719,1815785.000,36752,2,MZ,1,100,20
1760385950.007720,1815825.000,36773,3,MZ,1,100,20
1760385950.047722,1815865.000,36773,3,MZ,1,100,20
1760385950.087723,1815905.000,36773,3,MZ,1,100,20
1760385950.127724,1815945.000,36790,2,MZ,1,100,20
1760385950.167726,1815985.000,36790,2,MZ,1,100,20
1760385950.207727,1816025.000,36807,3,MZ,1,100,20
1760385950.247729,1816065.000,36807,3,MZ,1,100,20
1760385950.287730,1816105.000,36807,3,MZ,1,100,22
1760385950.327731,1816145.000,36821,2,MZ,1,100,21
1760385950.367733,1816185.000,36821,2,MZ,1,100,20
1760385950.407734,1816225.000,36839,3,MZ,1,100,20
1760385950.447735,1816265.000,36839,3,MZ,1,100,20
1760385950.487737,1816305.000,36839,3,MZ,1,100,19
1760385950.527738,1816345.000,36855,2,MZ,1,100,18
1760385950.567739,1816385.000,36855,2,MZ,1,100,19
1760385950.607741,1816425.000,36872,3,MZ,1,100,20
1760385950.647742,1816465.000,36872,3,MZ,1,100,20
1760385950.687744,1816505.000,36872,3,MZ,1,100,20
1760385950.727745,1816545.000,36888,2,MZ,1,100,21
1760385950.767746,1816585.000,36888,2,MZ,1,100,21
1760385950.807748,1816625.000,36908,3,MZ,1,100,20
1760385950.847749,1816665.000,36908,3,MZ,1,100,20
1760385950.887750,1816705.000,36908,3,MZ,1,100,20
1760385950.927752,1816745.000,36924,2,MZ,1,100,21
1760385950.967753,1816785.000,36924,2,MZ,1,100,21
1760385951.007755,1816825.000,36941,3,MZ,1,100,21
1760385951.047756,1816865.000,36941,3,MZ,1,100,19
1760385951.087757,1816905.000,36941,3,MZ,1,100,20
1760385951.127759,1816945.000,36956,2,MZ,1,100,20
1760385951.167760,1816985.000,36956,2,MZ,1,100,20
