LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1760380816.822601,121707.000,18090,1,HR,1,100,140.21
1760380817.542586,122427.000,18208,1,HR,1,100,127.57
1760380818.222572,123107.000,18328,1,HR,1,100,118.83
1760380819.182552,124067.000,18480,1,HR,1,100,106.31
1760380819.542545,124427.000,18548,1,HR,1,100,119.72
1760380820.142532,125027.000,18637,1,HR,1,100,115.34
1760380820.542524,125427.000,18704,1,HR,1,100,123.04
1760380821.182511,126067.000,18826,1,HR,1,100,116.53
1760380821.581502,126466.000,18893,1,HR,1,100,123.97
1760380821.861497,126746.000,18926,1,HR,1,100,144.04
1760380822.381486,127266.000,19029,1,HR,1,100,137.67
1760380822.941474,127826.000,19116,1,HR,1,100,130.89
1760380823.621460,128506.000,19233,1,HR,1,100,121.41
1760380823.861455,128746.000,19266,1,HR,1,100,149.99
1760380824.301446,129186.000,19335,1,HR,1,100,146.96
1760380824.901434,129786.000,19437,1,HR,1,100,136.52
1760380825.714417,130599.000,19576,1,HR,1,100,122.85
1760380826.354404,131239.000,19697,1,HR,1,100,116.38
1760380827.114388,131999.000,19817,1,HR,1,100,108.06
1760380827.834373,132719.000,19939,1,HR,1,100,102.57
1760380828.514359,133399.000,20059,1,HR,1,100,99.38
1760380829.194345,134079.000,20177,1,HR,1,100,96.91
1760380830.074327,134959.000,20309,1,HR,1,100,90.52
1760380830.514318,135399.000,20398,1,HR,1,100,100.71
1760380830.794312,135679.000,20431,1,HR,1,100,125.95
1760380831.434299,136319.000,20551,1,HR,1,100,118.79
1760380831.834290,136719.000,20621,1,HR,1,100,125.73
1760380832.114285,136999.000,20654,1,HR,1,100,145.41
1760380832.474277,137359.000,20725,1,HR,1,100,150.13
1760380832.794270,137679.000,20775,1,HR,1,100,158.44
1760380833.194262,138079.000,20843,1,HR,1,100,156.56
1760380833.394258,138279.000,20878,1,HR,1,100,188.44
1760380833.794250,138679.000,20945,1,HR,1,100,179.90
1760380834.634232,139519.000,21082,1,HR,1,100,155.79
1760380835.287219,140172.000,21190,1,HR,1,100,142.00
1760380836.007204,140892.000,21328,1,HR,1,100,128.97
1760380836.487194,141372.000,21397,1,HR,1,100,128.08
1760380836.927185,141812.000,21484,1,HR,1,100,129.92
1760380837.327177,142212.000,21555,1,HR,1,100,134.39
1760380838.006162,142891.000,21654,1,HR,1,100,124.13
1760380838.326156,143211.000,21708,1,HR,1,100,138.21
1760380838.966143,143851.000,21826,1,HR,1,100,128.33
1760380839.326135,144211.000,21876,1,HR,1,100,136.85
1760380839.606129,144491.000,21929,1,HR,1,100,154.06
1760380840.126119,145011.000,22014,1,HR,1,100,145.46
1760380840.766105,145651.000,22122,1,HR,1,100,133.97
1760380841.486090,146371.000,22259,1,HR,1,100,122.72
1760380841.726085,146611.000,22294,1,HR,1,100,151.00
1760380842.126077,147011.000,22361,1,HR,1,100,150.78
1760380842.886061,147771.000,22479,1,HR,1,100,134.82
1760380843.526048,148411.000,22599,1,HR,1,100,125.69
1760380844.299032,149184.000,22721,1,HR,1,100,115.30
1760380844.899020,149784.000,22822,1,HR,1,100,111.90
1760380845.739002,150624.000,22965,1,HR,1,100,102.91
1760380846.298991,151184.000,23070,1,HR,1,100,103.85
1760380846.978977,151864.000,23187,1,HR,1,100,100.38
1760380847.298970,152184.000,23241,1,HR,1,100,119.74
1760380847.658963,152544.000,23292,1,HR,1,100,130.17
1760380848.378948,153264.000,23408,1,HR,1,100,119.76
1760380848.618943,153504.000,23458,1,HR,1,100,148.70
1760380849.138932,154024.000,23542,1,HR,1,100,141.30
1760380849.738919,154624.000,23647,1,HR,1,100,132.12
1760380850.498904,155384.000,23764,1,HR,1,100,120.30
1760380851.058892,155944.000,23874,1,HR,1,100,117.38
1760380851.857876,156743.000,24011,1,HR,1,100,107.96
1760380852.457863,157343.000,24099,1,HR,1,100,106.19
1760380852.777857,157663.000,24168,1,HR,1,100,124.26
1760380853.417843,158303.000,24269,1,HR,1,100,117.48
1760380853.791836,158677.000,24336,1,HR,1,100,128.41
1760380854.550820,159436.000,24454,1,HR,1,100,117.42
1760380854.791815,159677.000,24487,1,HR,1,100,146.88
1760380855.190807,160076.000,24554,1,HR,1,100,147.58
