LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1760380191.665469,206539.000,32299,2,PI,1,100,167901
1760380191.705469,206579.000,32318,3,PI,1,100,167913
1760380191.745470,206619.000,32318,3,PI,1,100,167929
1760380191.785470,206659.000,32318,3,PI,1,100,167913
1760380191.825471,206699.000,32333,2,PI,1,100,167933
1760380191.865471,206739.000,32333,2,PI,1,100,167929
1760380191.905472,206779.000,32350,3,PI,1,100,167927
1760380191.945472,206819.000,32350,3,PI,1,100,167924
1760380191.985472,206859.000,32350,3,PI,1,100,167948
1760380192.025473,206899.000,32368,3,PI,1,100,167930
1760380192.065473,206939.000,32368,3,PI,1,100,167946
1760380192.105474,206979.000,32368,3,PI,1,100,167954
1760380192.145474,207019.000,32386,2,PI,1,100,167949
1760380192.185475,207059.000,32386,2,PI,1,100,167952
1760380192.225475,207099.000,32403,3,PI,1,100,167965
1760380192.265476,207139.000,32403,3,PI,1,100,167960
1760380192.305476,207179.000,32403,3,PI,1,100,167972
1760380192.345476,207219.000,32421,2,PI,1,100,167968
1760380192.385477,207259.000,32421,2,PI,1,100,167974
1760380192.425477,207299.000,32438,3,PI,1,100,167961
1760380192.465478,207339.000,32438,3,PI,1,100,167973
1760380192.505478,207379.000,32438,3,PI,1,100,167965
1760380192.545479,207419.000,32455,2,PI,1,100,167963
1760380192.585479,207459.000,32455,2,PI,1,100,167987
1760380192.625479,207499.000,32473,3,PI,1,100,167945
1760380192.665480,207539.000,32473,3,PI,1,100,167939
1760380192.705480,207579.000,32473,3,PI,1,100,167958
1760380192.745481,207619.000,32489,2,PI,1,100,167964
1760380192.785481,207659.000,32489,2,PI,1,100,167957
1760380192.825482,207699.000,32507,3,PI,1,100,167953
1760380192.865482,207739.000,32507,3,PI,1,100,167953
1760380192.905483,207779.000,32507,3,PI,1,100,167965
1760380192.945483,207819.000,32526,2,PI,1,100,167965
1760380192.985483,207859.000,32526,2,PI,1,100,167959
1760380193.025484,207899.000,32542,3,PI,1,100,167971
