LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1760385037.462594,903277.000,15449,3,AZ,1,100,0.083
1760385037.502594,903317.000,15449,3,AZ,1,100,0.065
1760385037.542594,903357.000,15466,2,AZ,1,100,0.026
1760385037.582594,903397.000,15466,2,AZ,1,100,0.046
1760385037.622594,903437.000,15486,3,AZ,1,100,0.038
1760385037.662594,903477.000,15486,3,AZ,1,100,0.044
1760385037.702594,903517.000,15486,3,AZ,1,100,0.054
1760385037.742593,903557.000,15501,2,AZ,1,100,0.057
1760385037.782593,903597.000,15501,2,AZ,1,100,0.070
1760385037.822593,903637.000,15518,3,AZ,1,100,0.080
1760385037.862593,903677.000,15518,3,AZ,1,100,0.148
1760385037.902593,903717.000,15518,3,AZ,1,100,0.173
1760385037.942593,903757.000,15535,2,AZ,1,100,0.180
1760385037.982593,903797.000,15535,2,AZ,1,100,0.209
1760385038.022593,903837.000,15551,3,AZ,1,100,0.208
1760385038.062593,903877.000,15551,3,AZ,1,100,0.210
1760385038.102592,903917.000,15551,3,AZ,1,100,0.222
1760385038.142592,903957.000,15566,2,AZ,1,100,0.219
1760385038.182592,903997.000,15566,2,AZ,1,100,0.267
1760385038.222592,904037.000,15584,3,AZ,1,100,0.211
1760385038.262592,904077.000,15584,3,AZ,1,100,0.138
1760385038.302592,904117.000,15584,3,AZ,1,100,0.159
1760385038.342592,904157.000,15602,2,AZ,1,100,0.185
1760385038.382591,904197.000,15602,2,AZ,1,100,0.156
1760385038.422591,904237.000,15621,3,AZ,1,100,0.139
1760385038.462591,904277.000,15621,3,AZ,1,100,0.145
1760385038.502591,904317.000,15621,3,AZ,1,100,0.148
1760385038.542591,904357.000,15636,2,AZ,1,100,0.189
1760385038.582591,904397.000,15636,2,AZ,1,100,0.199
1760385038.622591,904437.000,15653,3,AZ,1,100,0.214
1760385038.662591,904477.000,15653,3,AZ,1,100,0.179
1760385038.702591,904517.000,15653,3,AZ,1,100,0.188
1760385038.742590,904557.000,15669,3,AZ,1,100,0.179
1760385038.782590,904597.000,15669,3,AZ,1,100,0.170
1760385038.822590,904637.000,15669,3,AZ,1,100,0.100
1760385038.862590,904677.000,15687,2,AZ,1,100,0.084
1760385038.902590,904717.000,15687,2,AZ,1,100,0.051
1760385038.942590,904757.000,15701,3,AZ,1,100,0.058
1760385038.982590,904797.000,15701,3,AZ,1,100,0.059
1760385039.022590,904837.000,15701,3,AZ,1,100,0.086
1760385039.062590,904877.000,15722,2,AZ,1,100,0.088
1760385039.102589,904917.000,15722,2,AZ,1,100,0.088
1760385039.142589,904957.000,15738,3,AZ,1,100,0.091
1760385039.182589,904997.000,15738,3,AZ,1,100,0.101
1760385039.222589,905037.000,15738,3,AZ,1,100,0.110
1760385039.262589,905077.000,15756,2,AZ,1,100,0.135
1760385039.302589,905117.000,15756,2,AZ,1,100,0.184
1760385039.337922,905152.333,15770,3,AZ,1,100,0.205
1760385039.373255,905187.667,15770,3,AZ,1,100,0.241
1760385039.408589,905223.000,15770,3,AZ,1,100,0.223
1760385039.448588,905263.000,15787,3,AZ,1,100,0.241
1760385039.488588,905303.000,15787,3,AZ,1,100,0.295
1760385039.528588,905343.000,15787,3,AZ,1,100,0.274
1760385039.568588,905383.000,15804,2,AZ,1,100,0.233
1760385039.608588,905423.000,15804,2,AZ,1,100,0.189
1760385039.648588,905463.000,15823,3,AZ,1,100,0.203
1760385039.688588,905503.000,15823,3,AZ,1,100,0.229
1760385039.728588,905543.000,15823,3,AZ,1,100,0.197
1760385039.768588,905583.000,15839,2,AZ,1,100,0.159
1760385039.808587,905623.000,15839,2,AZ,1,100,0.175
1760385039.848587,905663.000,15857,3,AZ,1,100,0.187
1760385039.888587,905703.000,15857,3,AZ,1,100,0.201
1760385039.928587,905743.000,15857,3,AZ,1,100,0.224
1760385039.968587,905783.000,15873,2,AZ,1,100,0.243
1760385040.008587,905823.000,15873,2,AZ,1,100,0.234
1760385040.048587,905863.000,15890,3,AZ,1,100,0.223
1760385040.088587,905903.000,15890,3,AZ,1,100,0.235
1760385040.128587,905943.000,15890,3,AZ,1,100,0.149
1760385040.168586,905983.000,15905,2,AZ,1,100,0.125
1760385040.208586,906023.000,15905,2,AZ,1,100,0.121
1760385040.248586,906063.000,15922,3,AZ,1,100,0.075
1760385040.288586,906103.000,15922,3,AZ,1,100,0.089
1760385040.328586,906143.000,15922,3,AZ,1,100,0.126
1760385040.368586,906183.000,15942,2,AZ,1,100,0.085
1760385040.408586,906223.000,15942,2,AZ,1,100,0.080
1760385040.448586,906263.000,15959,3,AZ,1,100,0.096
1760385040.488585,906303.000,15959,3,AZ,1,100,0.086
1760385040.528585,906343.000,15959,3,AZ,1,100,0.087
1760385040.568585,906383.000,15976,3,AZ,1,100,0.090
1760385040.608585,906423.000,15976,3,AZ,1,100,0.113
1760385040.648585,906463.000,15976,3,AZ,1,100,0.158
1760385040.688585,906503.000,15991,2,AZ,1,100,0.177
1760385040.728585,906543.000,15991,2,AZ,1,100,0.208
1760385040.768585,906583.000,16007,3,AZ,1,100,0.200
1760385040.808584,906623.000,16007,3,AZ,1,100,0.169
1760385040.848584,906663.000,16007,3,AZ,1,100,0.177
1760385040.888584,906703.000,16025,2,AZ,1,100,0.183
1760385040.928584,906743.000,16025,2,AZ,1,100,0.182
1760385040.968584,906783.000,16043,3,AZ,1,100,0.131
1760385041.008584,906823.000,16043,3,AZ,1,100,0.158
1760385041.048584,906863.000,16043,3,AZ,1,100,0.174
1760385041.088584,906903.000,16060,2,AZ,1,100,0.155
1760385041.128584,906943.000,16060,2,AZ,1,100,0.137
1760385041.168583,906983.000,16077,3,AZ,1,100,0.157
1760385041.208583,907023.000,16077,3,AZ,1,100,0.141
1760385041.248583,907063.000,16077,3,AZ,1,100,0.151
1760385041.288583,907103.000,16096,2,AZ,1,100,0.145
1760385041.328583,907143.000,16096,2,AZ,1,100,0.140
1760385041.368583,907183.000,16112,3,AZ,1,100,0.154
1760385041.408583,907223.000,16112,3,AZ,1,100,0.175
1760385041.448583,907263.000,16112,3,AZ,1,100,0.198
1760385041.488083,907302.500,16127,2,AZ,1,100,0.139
1760385041.527582,907342.000,16127,2,AZ,1,100,0.051
1760385041.567916,907382.333,16144,3,AZ,1,100,0.063
1760385041.608249,907422.667,16144,3,AZ,1,100,0.060
1760385041.648582,907463.000,16144,3,AZ,1,100,0.051
1760385041.688249,907502.667,16161,3,AZ,1,100,0.072
1760385041.727915,907542.333,16161,3,AZ,1,100,0.037
1760385041.767582,907582.000,16161,3,AZ,1,100,0.085
1760385041.808082,907622.500,16181,2,AZ,1,100,0.076
1760385041.848582,907663.000,16181,2,AZ,1,100,0.100
1760385041.888248,907702.667,16197,3,AZ,1,100,0.112
1760385041.927915,907742.333,16197,3,AZ,1,100,0.114
1760385041.967581,907782.000,16197,3,AZ,1,100,0.120
1760385042.008081,907822.500,16213,2,AZ,1,100,0.144
1760385042.048581,907863.000,16213,2,AZ,1,100,0.162
1760385042.088248,907902.667,16237,3,AZ,1,100,0.183
1760385042.127914,907942.333,16237,3,AZ,1,100,0.229
1760385042.167581,907982.000,16237,3,AZ,1,100,0.194
1760385042.207581,908022.000,16254,2,AZ,1,100,0.165
1760385042.247580,908062.000,16254,2,AZ,1,100,0.184
1760385042.287580,908102.000,16270,3,AZ,1,100,0.164
1760385042.327580,908142.000,16270,3,AZ,1,100,0.128
1760385042.367580,908182.000,16270,3,AZ,1,100,0.144
1760385042.407580,908222.000,16287,2,AZ,1,100,0.130
1760385042.447580,908262.000,16287,2,AZ,1,100,0.103
1760385042.487580,908302.000,16306,3,AZ,1,100,0.086
1760385042.527580,908342.000,16306,3,AZ,1,100,0.114
1760385042.567580,908382.000,16306,3,AZ,1,100,0.149
1760385042.607579,908422.000,16323,2,AZ,1,100,0.167
1760385042.647579,908462.000,16323,2,AZ,1,100,0.187
1760385042.683579,908498.000,16340,3,AZ,1,100,0.187
1760385042.719579,908534.000,16340,3,AZ,1,100,0.175
1760385042.755579,908570.000,16340,3,AZ,1,100,0.157
1760385042.795579,908610.000,16354,3,AZ,1,100,0.147
1760385042.835579,908650.000,16354,3,AZ,1,100,0.096
1760385042.875579,908690.000,16354,3,AZ,1,100,0.007
