LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1760381629.380216,934265.000,21364,2,AZ,1,100,0.031
1760381629.420216,934305.000,21382,3,AZ,1,100,0.014
1760381629.460215,934345.000,21382,3,AZ,1,100,0.029
1760381629.500214,934385.000,21382,3,AZ,1,100,0.043
1760381629.540213,934425.000,21399,2,AZ,1,100,0.069
1760381629.580213,934465.000,21399,2,AZ,1,100,0.062
1760381629.620212,934505.000,21413,3,AZ,1,100,0.101
1760381629.660211,934545.000,21413,3,AZ,1,100,0.123
1760381629.700211,934585.000,21413,3,AZ,1,100,0.136
1760381629.740210,934625.000,21431,2,AZ,1,100,0.167
1760381629.780209,934665.000,21431,2,AZ,1,100,0.224
1760381629.820208,934705.000,21449,3,AZ,1,100,0.197
1760381629.860208,934745.000,21449,3,AZ,1,100,0.202
1760381629.900207,934785.000,21449,3,AZ,1,100,0.190
1760381629.940206,934825.000,21468,2,AZ,1,100,0.165
1760381629.980205,934865.000,21468,2,AZ,1,100,0.049
1760381630.020205,934905.000,21485,3,AZ,1,100,0.110
1760381630.060204,934945.000,21485,3,AZ,1,100,0.137
1760381630.100203,934985.000,21485,3,AZ,1,100,0.128
1760381630.140202,935025.000,21502,2,AZ,1,100,0.182
1760381630.180202,935065.000,21502,2,AZ,1,100,0.207
1760381630.215868,935100.667,21518,3,AZ,1,100,0.222
1760381630.251534,935136.333,21518,3,AZ,1,100,0.237
1760381630.287199,935172.000,21518,3,AZ,1,100,0.246
1760381630.327199,935212.000,21538,3,AZ,1,100,0.223
1760381630.367198,935252.000,21538,3,AZ,1,100,0.187
1760381630.407197,935292.000,21538,3,AZ,1,100,0.165
1760381630.447197,935332.000,21553,2,AZ,1,100,0.145
1760381630.487196,935372.000,21553,2,AZ,1,100,0.079
1760381630.527195,935412.000,21569,3,AZ,1,100,0.079
1760381630.567194,935452.000,21569,3,AZ,1,100,0.076
1760381630.607194,935492.000,21569,3,AZ,1,100,0.035
1760381630.647193,935532.000,21589,2,AZ,1,100,0.007
1760381630.687192,935572.000,21589,2,AZ,1,100,0.050
1760381630.727191,935612.000,21607,3,AZ,1,100,0.064
1760381630.767191,935652.000,21607,3,AZ,1,100,0.081
1760381630.807190,935692.000,21607,3,AZ,1,100,0.093
1760381630.847189,935732.000,21623,3,AZ,1,100,0.098
1760381630.887188,935772.000,21623,3,AZ,1,100,0.114
1760381630.927188,935812.000,21623,3,AZ,1,100,0.151
1760381630.967187,935852.000,21638,2,AZ,1,100,0.202
1760381631.007186,935892.000,21638,2,AZ,1,100,0.236
1760381631.047185,935932.000,21657,3,AZ,1,100,0.220
1760381631.087185,935972.000,21657,3,AZ,1,100,0.196
1760381631.127184,936012.000,21657,3,AZ,1,100,0.197
1760381631.167183,936052.000,21674,2,AZ,1,100,0.196
1760381631.207182,936092.000,21674,2,AZ,1,100,0.098
1760381631.247182,936132.000,21692,3,AZ,1,100,0.083
1760381631.287181,936172.000,21692,3,AZ,1,100,0.098
1760381631.327180,936212.000,21692,3,AZ,1,100,0.113
1760381631.367180,936252.000,21708,2,AZ,1,100,0.228
1760381631.407179,936292.000,21708,2,AZ,1,100,0.262
1760381631.447178,936332.000,21724,3,AZ,1,100,0.289
1760381631.487177,936372.000,21724,3,AZ,1,100,0.316
1760381631.527177,936412.000,21724,3,AZ,1,100,0.314
1760381631.567176,936452.000,21741,2,AZ,1,100,0.299
1760381631.607175,936492.000,21741,2,AZ,1,100,0.214
1760381631.647174,936532.000,21760,3,AZ,1,100,0.242
1760381631.687174,936572.000,21760,3,AZ,1,100,0.248
1760381631.727173,936612.000,21760,3,AZ,1,100,0.204
1760381631.767172,936652.000,21777,3,AZ,1,100,0.135
1760381631.807171,936692.000,21777,3,AZ,1,100,0.115
1760381631.847171,936732.000,21777,3,AZ,1,100,0.074
1760381631.886670,936771.500,21795,2,AZ,1,100,0.038
1760381631.926169,936811.000,21795,2,AZ,1,100,0.046
1760381631.966168,936851.000,21812,3,AZ,1,100,0.111
1760381632.006168,936891.000,21812,3,AZ,1,100,0.144
1760381632.046167,936931.000,21812,3,AZ,1,100,0.109
1760381632.086166,936971.000,21831,2,AZ,1,100,0.124
1760381632.126165,937011.000,21831,2,AZ,1,100,0.158
1760381632.166165,937051.000,21847,3,AZ,1,100,0.160
1760381632.206164,937091.000,21847,3,AZ,1,100,0.228
1760381632.246163,937131.000,21847,3,AZ,1,100,0.320
1760381632.286163,937171.000,21864,2,AZ,1,100,0.348
1760381632.326162,937211.000,21864,2,AZ,1,100,0.386
1760381632.366161,937251.000,21882,3,AZ,1,100,0.312
1760381632.406160,937291.000,21882,3,AZ,1,100,0.185
1760381632.446160,937331.000,21882,3,AZ,1,100,0.095
1760381632.486159,937371.000,21902,2,AZ,1,100,0.130
1760381632.526158,937411.000,21902,2,AZ,1,100,0.199
1760381632.566157,937451.000,21918,3,AZ,1,100,0.189
1760381632.606157,937491.000,21918,3,AZ,1,100,0.235
1760381632.646156,937531.000,21918,3,AZ,1,100,0.251
1760381632.686155,937571.000,21934,2,AZ,1,100,0.270
1760381632.726154,937611.000,21934,2,AZ,1,100,0.288
1760381632.766154,937651.000,21953,3,AZ,1,100,0.306
1760381632.806153,937691.000,21953,3,AZ,1,100,0.337
1760381632.846152,937731.000,21953,3,AZ,1,100,0.330
1760381632.886151,937771.000,21969,2,AZ,1,100,0.308
1760381632.926151,937811.000,21969,2,AZ,1,100,0.307
1760381632.966150,937851.000,21992,3,AZ,1,100,0.200
1760381633.006149,937891.000,21992,3,AZ,1,100,0.088
1760381633.046148,937931.000,21992,3,AZ,1,100,0.062
1760381633.086148,937971.000,22010,3,AZ,1,100,0.014
1760381633.126147,938011.000,22010,3,AZ,1,100,0.085
1760381633.166146,938051.000,22010,3,AZ,1,100,0.129
1760381633.206645,938091.500,22027,2,AZ,1,100,0.127
1760381633.247145,938132.000,22027,2,AZ,1,100,0.129
1760381633.287144,938172.000,22043,3,AZ,1,100,0.150
1760381633.327143,938212.000,22043,3,AZ,1,100,0.161
1760381633.367142,938252.000,22043,3,AZ,1,100,0.202
1760381633.407142,938292.000,22061,2,AZ,1,100,0.238
1760381633.447141,938332.000,22061,2,AZ,1,100,0.273
1760381633.487140,938372.000,22075,3,AZ,1,100,0.279
1760381633.527139,938412.000,22075,3,AZ,1,100,0.232
1760381633.567139,938452.000,22075,3,AZ,1,100,0.172
1760381633.607138,938492.000,22094,2,AZ,1,100,0.192
1760381633.647137,938532.000,22094,2,AZ,1,100,0.113
1760381633.682470,938567.333,22113,3,AZ,1,100,-0.010
1760381633.717803,938602.667,22113,3,AZ,1,100,0.052
1760381633.753135,938638.000,22113,3,AZ,1,100,0.124
1760381633.793134,938678.000,22130,3,AZ,1,100,0.159
1760381633.833134,938718.000,22130,3,AZ,1,100,0.237
1760381633.873133,938758.000,22130,3,AZ,1,100,0.309
1760381633.913132,938798.000,22145,2,AZ,1,100,0.281
1760381633.953132,938838.000,22145,2,AZ,1,100,0.282
1760381633.993131,938878.000,22164,3,AZ,1,100,0.290
1760381634.033130,938918.000,22164,3,AZ,1,100,0.339
1760381634.073129,938958.000,22164,3,AZ,1,100,0.351
1760381634.113129,938998.000,22180,3,AZ,1,100,0.382
