LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1760381801.107333,1105995.000,50462,3,AX,1,100,-0.530
1760381801.147333,1106035.000,50462,3,AX,1,100,-0.768
1760381801.187334,1106075.000,50462,3,AX,1,100,-0.506
1760381801.227334,1106115.000,50476,2,AX,1,100,-0.465
1760381801.267335,1106155.000,50476,2,AX,1,100,-0.525
1760381801.307335,1106195.000,50496,3,AX,1,100,-0.717
1760381801.347336,1106235.000,50496,3,AX,1,100,-1.266
1760381801.387336,1106275.000,50496,3,AX,1,100,-1.289
1760381801.427337,1106315.000,50512,2,AX,1,100,-0.615
1760381801.467337,1106355.000,50512,2,AX,1,100,0.154
1760381801.507338,1106395.000,50531,3,AX,1,100,0.493
1760381801.547338,1106435.000,50531,3,AX,1,100,1.088
1760381801.587339,1106475.000,50531,3,AX,1,100,1.192
1760381801.627339,1106515.000,50546,2,AX,1,100,0.847
1760381801.667340,1106555.000,50546,2,AX,1,100,-0.174
1760381801.707340,1106595.000,50563,3,AX,1,100,-1.328
1760381801.747341,1106635.000,50563,3,AX,1,100,-0.911
1760381801.787341,1106675.000,50563,3,AX,1,100,-0.755
1760381801.827342,1106715.000,50579,2,AX,1,100,-0.648
1760381801.867342,1106755.000,50579,2,AX,1,100,-0.585
1760381801.907343,1106795.000,50604,4,AX,1,100,-0.570
1760381801.947343,1106835.000,50604,4,AX,1,100,-0.352
1760381801.987344,1106875.000,50604,4,AX,1,100,-0.421
1760381802.027344,1106915.000,50604,4,AX,1,100,-0.395
1760381802.067345,1106955.000,50622,3,AX,1,100,-1.032
1760381802.107345,1106995.000,50622,3,AX,1,100,-1.708
1760381802.147346,1107035.000,50622,3,AX,1,100,-1.358
1760381802.187346,1107075.000,50639,2,AX,1,100,-0.155
1760381802.227347,1107115.000,50639,2,AX,1,100,0.274
1760381802.267347,1107155.000,50655,3,AX,1,100,0.421
1760381802.307348,1107195.000,50655,3,AX,1,100,1.077
1760381802.347348,1107235.000,50655,3,AX,1,100,1.085
1760381802.387349,1107275.000,50675,2,AX,1,100,0.786
1760381802.427349,1107315.000,50675,2,AX,1,100,-0.298
1760381802.467350,1107355.000,50691,3,AX,1,100,-1.344
1760381802.507350,1107395.000,50691,3,AX,1,100,-0.920
1760381802.547351,1107435.000,50691,3,AX,1,100,-0.458
1760381802.587351,1107475.000,50708,2,AX,1,100,-0.827
