LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1760386174.253570,2040070.000,8444,1,BI,1,100,440
1760386174.653564,2040470.000,8511,1,BI,1,100,400
1760386175.053558,2040870.000,8578,1,BI,1,100,400
1760386175.413553,2041230.000,8630,1,BI,1,100,360
1760386175.853546,2041670.000,8713,1,BI,1,100,440
1760386176.213541,2042030.000,8767,1,BI,1,100,360
1760386176.653535,2042470.000,8834,1,BI,1,100,440
1760386176.973530,2042790.000,8901,1,BI,1,100,320
1760386177.412524,2043229.000,8968,1,BI,1,100,440
1760386177.812518,2043629.000,9040,1,BI,1,100,400
1760386178.212512,2044029.000,9108,1,BI,1,100,400
1760386178.612506,2044429.000,9175,1,BI,1,100,400
1760386179.052500,2044869.000,9242,1,BI,1,100,440
1760386179.372495,2045189.000,9293,1,BI,1,100,320
1760386179.852489,2045669.000,9377,1,BI,1,100,480
1760386180.212483,2046029.000,9428,1,BI,1,100,360
1760386180.652477,2046469.000,9511,1,BI,1,100,440
1760386181.012472,2046829.000,9564,1,BI,1,100,360
1760386181.452465,2047269.000,9647,1,BI,1,100,440
1760386181.772461,2047589.000,9700,1,BI,1,100,320
1760386182.252454,2048069.000,9768,1,BI,1,100,480
1760386182.652448,2048469.000,9835,1,BI,1,100,400
1760386183.052442,2048869.000,9906,1,BI,1,100,400
1760386183.505435,2049322.000,9973,1,BI,1,100,440
1760386183.905430,2049722.000,10041,1,BI,1,100,400
1760386184.265424,2050082.000,10109,1,BI,1,100,360
1760386184.745418,2050562.000,10177,1,BI,1,100,480
1760386185.105412,2050922.000,10244,1,BI,1,100,360
1760386185.545406,2051362.000,10312,1,BI,1,100,440
1760386185.945400,2051762.000,10379,1,BI,1,100,400
1760386186.385394,2052202.000,10448,1,BI,1,100,440
1760386186.745389,2052562.000,10515,1,BI,1,100,360
1760386187.185382,2053002.000,10582,1,BI,1,100,440
1760386187.465378,2053282.000,10633,1,BI,1,100,280
1760386187.945371,2053762.000,10722,1,BI,1,100,480
1760386188.305366,2054122.000,10773,1,BI,1,100,360
1760386188.785359,2054602.000,10856,1,BI,1,100,480
1760386189.145354,2054962.000,10924,1,BI,1,100,360
1760386189.625347,2055442.000,10991,1,BI,1,100,480
1760386189.985342,2055802.000,11058,1,BI,1,100,360
1760386190.425335,2056242.000,11125,1,BI,1,100,440
1760386190.784330,2056601.000,11192,1,BI,1,100,360
1760386191.264323,2057081.000,11262,1,BI,1,100,480
1760386191.624318,2057441.000,11329,1,BI,1,100,360
1760386192.065312,2057882.000,11396,1,BI,1,100,440
1760386192.464306,2058281.000,11463,1,BI,1,100,400
1760386192.918299,2058735.000,11553,1,BI,1,100,440
1760386193.318294,2059135.000,11620,1,BI,1,100,400
1760386193.758287,2059575.000,11687,1,BI,1,100,440
1760386194.158281,2059975.000,11755,1,BI,1,100,400
1760386194.557276,2060374.000,11824,1,BI,1,100,400
1760386194.917270,2060734.000,11874,1,BI,1,100,360
1760386195.397263,2061214.000,11958,1,BI,1,100,480
1760386195.757258,2061574.000,12008,1,BI,1,100,360
1760386196.237251,2062054.000,12095,1,BI,1,100,480
1760386196.557247,2062374.000,12145,1,BI,1,100,320
1760386197.037240,2062854.000,12229,1,BI,1,100,480
1760386197.437234,2063254.000,12296,1,BI,1,100,400
1760386197.837228,2063654.000,12363,1,BI,1,100,400
1760386198.197223,2064014.000,12436,1,BI,1,100,360
1760386198.637217,2064454.000,12503,1,BI,1,100,440
1760386199.037211,2064854.000,12570,1,BI,1,100,400
1760386199.477204,2065294.000,12637,1,BI,1,100,440
1760386199.797200,2065614.000,12687,1,BI,1,100,320
1760386200.277193,2066094.000,12772,1,BI,1,100,480
1760386200.677187,2066494.000,12839,1,BI,1,100,400
1760386201.117181,2066934.000,12906,1,BI,1,100,440
1760386201.437176,2067254.000,12960,1,BI,1,100,320
1760386201.917169,2067734.000,13043,1,BI,1,100,480
1760386202.277164,2068094.000,13110,1,BI,1,100,360
1760386202.757157,2068574.000,13178,1,BI,1,100,480
1760386203.050153,2068867.000,13229,1,BI,1,100,280
1760386203.570145,2069387.000,13319,1,BI,1,100,520
1760386203.970139,2069787.000,13386,1,BI,1,100,400
1760386204.370133,2070187.000,13453,1,BI,1,100,400
1760386204.730128,2070547.000,13520,1,BI,1,100,360
1760386205.170122,2070987.000,13587,1,BI,1,100,440
1760386205.570116,2071387.000,13655,1,BI,1,100,400
1760386206.010110,2071827.000,13722,1,BI,1,100,440
1760386206.370105,2072187.000,13791,1,BI,1,100,360
1760386206.850098,2072667.000,13875,1,BI,1,100,480
1760386207.170093,2072987.000,13925,1,BI,1,100,320
1760386207.649086,2073466.000,14009,1,BI,1,100,480
1760386208.010081,2073827.000,14060,1,BI,1,100,360
1760386208.449075,2074266.000,14148,1,BI,1,100,440
1760386208.849069,2074666.000,14199,1,BI,1,100,400
1760386209.209063,2075026.000,14267,1,BI,1,100,360
1760386209.609058,2075426.000,14334,1,BI,1,100,400
1760386210.049051,2075866.000,14401,1,BI,1,100,440
1760386210.489045,2076306.000,14485,1,BI,1,100,440
1760386210.889039,2076706.000,14552,1,BI,1,100,400
1760386211.289033,2077106.000,14606,1,BI,1,100,400
1760386211.729027,2077546.000,14688,1,BI,1,100,440
1760386212.129021,2077946.000,14755,1,BI,1,100,400
1760386212.542015,2078359.000,14823,1,BI,1,100,400
1760386212.942009,2078759.000,14890,1,BI,1,100,400
1760386213.382003,2079199.000,14963,1,BI,1,100,440
1760386213.781997,2079599.000,15030,1,BI,1,100,400
1760386214.221991,2080039.000,15098,1,BI,1,100,440
1760386214.581986,2080399.000,15148,1,BI,1,100,360
