LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1760385239.376419,1105190.000,49323,1,HR,1,100,77.07
1760385240.216390,1106030.000,49459,1,HR,1,100,75.82
1760385240.976363,1106790.000,49596,1,HR,1,100,76.51
1760385241.776336,1107590.000,49722,1,HR,1,100,76.18
1760385242.576308,1108390.000,49858,1,HR,1,100,75.92
1760385243.376281,1109190.000,49995,1,HR,1,100,75.71
1760385243.976260,1109790.000,50096,1,HR,1,100,81.11
1760385245.029224,1110843.000,50268,1,HR,1,100,75.91
1760385245.829196,1111643.000,50404,1,HR,1,100,75.70
1760385246.389177,1112203.000,50509,1,HR,1,100,82.69
1760385247.389142,1113203.000,50670,1,HR,1,100,77.65
1760385248.188115,1114002.000,50806,1,HR,1,100,77.06
1760385249.068084,1114882.000,50959,1,HR,1,100,75.09
1760385249.788059,1115602.000,51079,1,HR,1,100,76.92
1760385250.588032,1116402.000,51216,1,HR,1,100,76.49
1760385251.348006,1117162.000,51338,1,HR,1,100,77.04
1760385251.827989,1117642.000,51428,1,HR,1,100,87.70
1760385252.227975,1118042.000,51482,1,HR,1,100,101.54
1760385253.027948,1118842.000,51619,1,HR,1,100,95.64
1760385253.827920,1119642.000,51755,1,HR,1,100,91.06
1760385254.627892,1120442.000,51892,1,HR,1,100,87.49
1760385255.067877,1120882.000,51961,1,HR,1,100,98.35
1760385255.480863,1121295.000,52030,1,HR,1,100,109.83
1760385256.240837,1122055.000,52168,1,HR,1,100,102.97
1760385257.080808,1122895.000,52312,1,HR,1,100,95.96
1760385257.720786,1123535.000,52415,1,HR,1,100,95.47
1760385258.680753,1124495.000,52569,1,HR,1,100,88.14
1760385259.160736,1124975.000,52654,1,HR,1,100,96.33
1760385259.520724,1125335.000,52723,1,HR,1,100,111.96
1760385260.280697,1126095.000,52843,1,HR,1,100,104.63
1760385261.120668,1126935.000,52996,1,HR,1,100,97.25
1760385261.919641,1127734.000,53120,1,HR,1,100,92.30
1760385262.719613,1128534.000,53262,1,HR,1,100,88.46
1760385263.479587,1129294.000,53381,1,HR,1,100,86.34
1760385264.359556,1130174.000,53535,1,HR,1,100,82.31
1760385265.093531,1130908.000,53653,1,HR,1,100,82.54
1760385265.732509,1131547.000,53774,1,HR,1,100,85.03
1760385266.052498,1131867.000,53826,1,HR,1,100,107.80
1760385266.812472,1132627.000,53948,1,HR,1,100,101.39
1760385267.612444,1133427.000,54091,1,HR,1,100,95.52
1760385268.452415,1134267.000,54227,1,HR,1,100,90.17
1760385269.252388,1135067.000,54363,1,HR,1,100,86.80
1760385269.732371,1135547.000,54449,1,HR,1,100,95.29
1760385270.092359,1135907.000,54502,1,HR,1,100,111.15
1760385270.892331,1136707.000,54638,1,HR,1,100,103.12
1760385271.692303,1137507.000,54777,1,HR,1,100,96.87
1760385272.452277,1138267.000,54903,1,HR,1,100,92.89
1760385273.292248,1139107.000,55039,1,HR,1,100,88.12
1760385274.092221,1139907.000,55176,1,HR,1,100,85.20
1760385274.891193,1140706.000,55312,1,HR,1,100,82.93
1760385275.385176,1141200.000,55399,1,HR,1,100,92.28
1760385275.665166,1141480.000,55451,1,HR,1,100,119.40
1760385276.465139,1142280.000,55589,1,HR,1,100,109.53
1760385277.265111,1143080.000,55711,1,HR,1,100,101.86
1760385278.064084,1143879.000,55853,1,HR,1,100,95.89
1760385278.864056,1144679.000,55989,1,HR,1,100,91.25
1760385279.624030,1145439.000,56108,1,HR,1,100,88.51
1760385280.464001,1146279.000,56262,1,HR,1,100,84.72
1760385281.263973,1147079.000,56383,1,HR,1,100,82.56
1760385282.103944,1147919.000,56537,1,HR,1,100,80.08
1760385282.943915,1148759.000,56680,1,HR,1,100,78.16
1760385283.743888,1149559.000,56799,1,HR,1,100,77.46
1760385284.543860,1150359.000,56935,1,HR,1,100,76.91
1760385285.356832,1151172.000,57072,1,HR,1,100,76.49
1760385286.196803,1152012.000,57225,1,HR,1,100,75.36
1760385286.956777,1152772.000,57349,1,HR,1,100,76.16
1760385287.516757,1153332.000,57449,1,HR,1,100,83.04
1760385287.796748,1153612.000,57492,1,HR,1,100,112.21
