LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1760381804.253372,1109141.000,50986,2,MY,1,100,-6
1760381804.293373,1109181.000,51005,3,MY,1,100,-9
1760381804.333374,1109221.000,51005,3,MY,1,100,-11
1760381804.373374,1109261.000,51005,3,MY,1,100,-11
1760381804.413374,1109301.000,51020,2,MY,1,100,-13
1760381804.453375,1109341.000,51020,2,MY,1,100,-14
1760381804.493376,1109381.000,51036,3,MY,1,100,-17
1760381804.533376,1109421.000,51036,3,MY,1,100,-20
1760381804.573376,1109461.000,51036,3,MY,1,100,-21
1760381804.613377,1109501.000,51053,2,MY,1,100,-21
1760381804.653378,1109541.000,51053,2,MY,1,100,-21
1760381804.693378,1109581.000,51072,3,MY,1,100,-17
1760381804.733379,1109621.000,51072,3,MY,1,100,-13
1760381804.773379,1109661.000,51072,3,MY,1,100,-10
1760381804.813380,1109701.000,51087,2,MY,1,100,-7
1760381804.853380,1109741.000,51087,2,MY,1,100,-7
1760381804.893381,1109781.000,51105,3,MY,1,100,-7
1760381804.933381,1109821.000,51105,3,MY,1,100,-9
1760381804.973382,1109861.000,51105,3,MY,1,100,-7
1760381805.013382,1109901.000,51123,3,MY,1,100,-4
1760381805.053383,1109941.000,51123,3,MY,1,100,-7
1760381805.093383,1109981.000,51123,3,MY,1,100,-9
1760381805.133384,1110021.000,51139,2,MY,1,100,-10
1760381805.173384,1110061.000,51139,2,MY,1,100,-10
1760381805.213385,1110101.000,51154,3,MY,1,100,-10
1760381805.253385,1110141.000,51154,3,MY,1,100,-15
1760381805.293386,1110181.000,51154,3,MY,1,100,-18
1760381805.333386,1110221.000,51173,2,MY,1,100,-20
1760381805.373387,1110261.000,51173,2,MY,1,100,-21
1760381805.413387,1110301.000,51190,3,MY,1,100,-18
1760381805.453388,1110341.000,51190,3,MY,1,100,-17
1760381805.493388,1110381.000,51190,3,MY,1,100,-12
1760381805.533389,1110421.000,51208,2,MY,1,100,-10
1760381805.573389,1110461.000,51208,2,MY,1,100,-7
1760381805.613390,1110501.000,51224,3,MY,1,100,-4
1760381805.653390,1110541.000,51224,3,MY,1,100,-8
1760381805.693391,1110581.000,51224,3,MY,1,100,-7
1760381805.733391,1110621.000,51242,2,MY,1,100,-8
