LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1760385961.687119,1827504.000,38740,1,SA,1,100,0.000161
1760385962.019130,1827836.000,38842,1,SA,1,100,0.000369
1760385962.553149,1828370.000,38881,1,SA,1,100,0.000162
1760385962.886160,1828703.000,38951,1,SA,1,100,0.000216
1760385963.286174,1829103.000,39000,1,SA,1,100,0.000193
1760385963.553183,1829370.000,39087,1,SA,1,100,0.000379
1760385964.286208,1830103.000,39204,1,SA,1,100,0.000248
1760385965.086235,1830903.000,39324,1,SA,1,100,0.000171
1760385966.286276,1832103.000,39526,1,SA,1,100,0.000172
1760385966.686290,1832503.000,39595,1,SA,1,100,0.000227
1760385967.219308,1833036.000,39645,1,SA,1,100,0.000047
1760385967.420315,1833237.000,39714,1,SA,1,100,0.000235
1760385968.085338,1833902.000,39822,1,SA,1,100,0.000141
1760385968.485351,1834302.000,39889,1,SA,1,100,0.000157
1760385969.153374,1834970.000,39976,1,SA,1,100,0.000079
1760385970.752429,1836569.000,40243,1,SA,1,100,0.000095
1760385971.019438,1836836.000,40277,1,SA,1,100,0.000040
1760385971.352449,1837169.000,40364,1,SA,1,100,0.000175
1760385972.085474,1837902.000,40498,1,SA,1,100,0.000263
1760385972.752497,1838569.000,40566,1,SA,1,100,0.000064
1760385973.486522,1839303.000,40724,1,SA,1,100,0.000200
1760385974.618561,1840435.000,40874,1,SA,1,100,0.000048
1760385975.219581,1841036.000,40993,1,SA,1,100,0.000072
1760385975.751599,1841568.000,41094,1,SA,1,100,0.000274
1760385976.551627,1842368.000,41230,1,SA,1,100,0.000146
1760385977.352654,1843169.000,41331,1,SA,1,100,0.000016
1760385977.685665,1843502.000,41401,1,SA,1,100,0.000187
1760385978.085679,1843902.000,41477,1,SA,1,100,0.000211
1760385978.485693,1844302.000,41560,1,SA,1,100,0.000195
1760385979.018711,1844835.000,41614,1,SA,1,100,0.000065
1760385979.751736,1845568.000,41781,1,SA,1,100,0.000172
1760385980.484761,1846301.000,41884,1,SA,1,100,0.000254
1760385981.018779,1846835.000,41951,1,SA,1,100,0.000025
1760385981.417793,1847234.000,42023,1,SA,1,100,0.000016
1760385982.151818,1847968.000,42138,1,SA,1,100,0.000008
1760385982.617834,1848434.000,42224,1,SA,1,100,0.000033
1760385983.084850,1848901.000,42297,1,SA,1,100,0.000107
1760385983.951879,1849768.000,42431,1,SA,1,100,0.000050
1760385984.284891,1850101.000,42550,1,SA,1,100,0.000399
1760385984.951914,1850768.000,42617,1,SA,1,100,0.000166
1760385985.284925,1851101.000,42687,1,SA,1,100,0.000158
1760385986.217957,1852034.000,42823,1,SA,1,100,0.000217
1760385987.485000,1853301.000,43074,1,SA,1,100,0.000218
1760385988.418032,1854234.000,43196,1,SA,1,100,0.000109
1760385988.751043,1854567.000,43247,1,SA,1,100,0.000152
1760385989.018052,1854834.000,43297,1,SA,1,100,0.000194
1760385989.484068,1855300.000,43367,1,SA,1,100,0.000059
1760385989.952084,1855768.000,43452,1,SA,1,100,0.000076
1760385990.618107,1856434.000,43553,1,SA,1,100,0.000102
1760385991.418134,1857234.000,43692,1,SA,1,100,0.000136
1760385992.217162,1858033.000,43843,1,SA,1,100,0.000341
1760385993.085191,1858901.000,43961,1,SA,1,100,0.000103
1760385993.418203,1859234.000,44020,1,SA,1,100,0.000068
1760385993.751214,1859567.000,44087,1,SA,1,100,0.000137
1760385994.751248,1860567.000,44241,1,SA,1,100,0.000026
1760385996.284300,1862100.000,44492,1,SA,1,100,0.000026
1760385997.750350,1863566.000,44745,1,SA,1,100,0.000087
1760385998.017359,1863833.000,44778,1,SA,1,100,0.000087
1760385998.217366,1864033.000,44830,1,SA,1,100,0.000122
1760385999.150398,1864966.000,44987,1,SA,1,100,0.000131
1760386000.684451,1866500.000,45256,1,SA,1,100,0.000123
1760386001.083464,1866899.000,45292,1,SA,1,100,0.000088
1760386001.550480,1867366.000,45377,1,SA,1,100,0.000070
1760386003.083533,1868899.000,45629,1,SA,1,100,0.000026
1760386003.350542,1869166.000,45682,1,SA,1,100,0.000159
1760386003.750555,1869566.000,45740,1,SA,1,100,0.000035
1760386003.950562,1869766.000,45775,1,SA,1,100,0.000080
1760386004.416578,1870232.000,45892,1,SA,1,100,0.000248
1760386006.150637,1871966.000,46161,1,SA,1,100,0.000152
1760386006.483649,1872299.000,46197,1,SA,1,100,0.000080
1760386006.883662,1872699.000,46283,1,SA,1,100,0.000295
1760386007.616687,1873432.000,46384,1,SA,1,100,0.000143
1760386008.082703,1873898.000,46452,1,SA,1,100,0.000009
1760386008.616721,1874432.000,46559,1,SA,1,100,0.000009
1760386009.282744,1875098.000,46662,1,SA,1,100,0.000108
1760386010.882799,1876698.000,46929,1,SA,1,100,0.000054
1760386011.282813,1877098.000,46981,1,SA,1,100,0.000064
1760386011.482819,1877298.000,47050,1,SA,1,100,0.000418
1760386012.549856,1878365.000,47202,1,SA,1,100,0.000009
