LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1760381801.587339,1106475.000,50537,3,MX,1,100,-59
1760381801.627339,1106515.000,50552,2,MX,1,100,-59
1760381801.667340,1106555.000,50552,2,MX,1,100,-59
1760381801.707340,1106595.000,50569,3,MX,1,100,-58
1760381801.747341,1106635.000,50569,3,MX,1,100,-55
1760381801.787341,1106675.000,50569,3,MX,1,100,-53
1760381801.827342,1106715.000,50585,2,MX,1,100,-51
1760381801.867342,1106755.000,50585,2,MX,1,100,-52
1760381801.907343,1106795.000,50610,4,MX,1,100,-52
1760381801.947343,1106835.000,50610,4,MX,1,100,-52
1760381801.987344,1106875.000,50610,4,MX,1,100,-51
1760381802.027344,1106915.000,50610,4,MX,1,100,-52
1760381802.067345,1106955.000,50628,3,MX,1,100,-55
1760381802.107345,1106995.000,50628,3,MX,1,100,-56
1760381802.147346,1107035.000,50628,3,MX,1,100,-59
1760381802.187346,1107075.000,50645,2,MX,1,100,-58
1760381802.227347,1107115.000,50645,2,MX,1,100,-59
1760381802.267347,1107155.000,50661,3,MX,1,100,-58
1760381802.307348,1107195.000,50661,3,MX,1,100,-57
1760381802.347348,1107235.000,50661,3,MX,1,100,-59
1760381802.387349,1107275.000,50681,2,MX,1,100,-59
1760381802.427349,1107315.000,50681,2,MX,1,100,-60
1760381802.467350,1107355.000,50697,3,MX,1,100,-57
1760381802.507350,1107395.000,50697,3,MX,1,100,-56
1760381802.547351,1107435.000,50697,3,MX,1,100,-52
1760381802.587351,1107475.000,50714,2,MX,1,100,-52
1760381802.627352,1107515.000,50714,2,MX,1,100,-51
1760381802.667352,1107555.000,50731,3,MX,1,100,-50
1760381802.707353,1107595.000,50731,3,MX,1,100,-50
1760381802.747354,1107635.000,50731,3,MX,1,100,-52
1760381802.787354,1107675.000,50750,2,MX,1,100,-52
1760381802.827354,1107715.000,50750,2,MX,1,100,-55
1760381802.867355,1107755.000,50766,3,MX,1,100,-56
1760381802.907356,1107795.000,50766,3,MX,1,100,-58
1760381802.947356,1107835.000,50766,3,MX,1,100,-59
1760381802.987356,1107875.000,50784,3,MX,1,100,-59
1760381803.027357,1107915.000,50784,3,MX,1,100,-58
1760381803.067358,1107955.000,50784,3,MX,1,100,-59
1760381803.100358,1107988.000,50799,2,MX,1,100,-58
1760381803.133358,1108021.000,50799,2,MX,1,100,-59
1760381803.173359,1108061.000,50817,3,MX,1,100,-60
1760381803.213359,1108101.000,50817,3,MX,1,100,-58
1760381803.253360,1108141.000,50817,3,MX,1,100,-56
1760381803.293360,1108181.000,50833,2,MX,1,100,-54
1760381803.333361,1108221.000,50833,2,MX,1,100,-52
1760381803.373361,1108261.000,50853,3,MX,1,100,-50
1760381803.413362,1108301.000,50853,3,MX,1,100,-50
1760381803.453362,1108341.000,50853,3,MX,1,100,-51
1760381803.493363,1108381.000,50869,3,MX,1,100,-52
1760381803.533363,1108421.000,50869,3,MX,1,100,-53
1760381803.573364,1108461.000,50869,3,MX,1,100,-53
1760381803.613364,1108501.000,50884,2,MX,1,100,-55
1760381803.653365,1108541.000,50884,2,MX,1,100,-57
1760381803.693365,1108581.000,50901,3,MX,1,100,-58
1760381803.733366,1108621.000,50901,3,MX,1,100,-57
1760381803.773366,1108661.000,50901,3,MX,1,100,-58
