LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1760384806.447405,672260.000,43032,3,PI,1,100,150964
1760384806.487403,672300.000,43032,3,PI,1,100,150960
1760384806.527402,672340.000,43032,3,PI,1,100,150963
1760384806.567401,672380.000,43049,2,PI,1,100,150959
1760384806.607399,672420.000,43049,2,PI,1,100,150971
1760384806.647398,672460.000,43064,3,PI,1,100,150954
1760384806.687397,672500.000,43064,3,PI,1,100,150967
1760384806.727396,672540.000,43064,3,PI,1,100,150971
1760384806.767394,672580.000,43080,2,PI,1,100,150966
1760384806.807393,672620.000,43080,2,PI,1,100,150972
1760384806.847392,672660.000,43103,4,PI,1,100,150967
1760384806.887391,672700.000,43103,4,PI,1,100,150968
1760384806.927389,672740.000,43103,4,PI,1,100,150970
1760384806.967388,672780.000,43103,4,PI,1,100,150984
1760384807.007387,672820.000,43119,3,PI,1,100,150988
1760384807.047385,672860.000,43119,3,PI,1,100,150984
1760384807.087384,672900.000,43119,3,PI,1,100,150998
1760384807.133883,672946.500,43136,2,PI,1,100,150972
1760384807.180381,672993.000,43136,2,PI,1,100,150997
1760384807.220380,673033.000,43151,2,PI,1,100,150997
1760384807.260379,673073.000,43151,2,PI,1,100,150980
1760384807.300377,673113.000,43168,3,PI,1,100,151002
1760384807.340376,673153.000,43168,3,PI,1,100,151015
1760384807.380375,673193.000,43168,3,PI,1,100,150999
1760384807.420373,673233.000,43184,2,PI,1,100,151002
1760384807.460372,673273.000,43184,2,PI,1,100,151015
1760384807.500371,673313.000,43201,3,PI,1,100,151021
1760384807.540370,673353.000,43201,3,PI,1,100,151010
1760384807.580369,673393.000,43201,3,PI,1,100,151014
1760384807.620367,673433.000,43217,3,PI,1,100,151027
1760384807.660366,673473.000,43217,3,PI,1,100,151032
1760384807.700365,673513.000,43217,3,PI,1,100,151039
1760384807.740363,673553.000,43233,2,PI,1,100,151040
1760384807.780362,673593.000,43233,2,PI,1,100,151048
1760384807.820361,673633.000,43249,3,PI,1,100,151022
1760384807.860359,673673.000,43249,3,PI,1,100,151052
1760384807.900358,673713.000,43249,3,PI,1,100,151052
1760384807.940357,673753.000,43267,2,PI,1,100,151055
1760384807.980356,673793.000,43267,2,PI,1,100,151063
1760384808.020354,673833.000,43282,3,PI,1,100,151074
1760384808.060353,673873.000,43282,3,PI,1,100,151068
1760384808.100352,673913.000,43282,3,PI,1,100,151069
1760384808.140351,673953.000,43298,2,PI,1,100,151066
1760384808.180349,673993.000,43298,2,PI,1,100,151061
1760384808.220348,674033.000,43315,3,PI,1,100,151053
1760384808.260347,674073.000,43315,3,PI,1,100,151062
1760384808.300345,674113.000,43315,3,PI,1,100,151064
1760384808.340344,674153.000,43332,2,PI,1,100,151087
1760384808.380343,674193.000,43332,2,PI,1,100,151098
1760384808.420341,674233.000,43348,3,PI,1,100,151085
1760384808.460340,674273.000,43348,3,PI,1,100,151101
1760384808.500339,674313.000,43348,3,PI,1,100,151109
1760384808.540338,674353.000,43364,2,PI,1,100,151093
1760384808.580337,674393.000,43364,2,PI,1,100,151109
