LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1760380770.721555,75605.000,10367,2,GX,1,100,-22.705
1760380770.761555,75645.000,10382,3,GX,1,100,-63.782
1760380770.801554,75685.000,10382,3,GX,1,100,-87.219
1760380770.841553,75725.000,10382,3,GX,1,100,-117.950
1760380770.881552,75765.000,10399,3,GX,1,100,-127.838
1760380770.921551,75805.000,10399,3,GX,1,100,-135.468
1760380770.961550,75845.000,10399,3,GX,1,100,-94.757
1760380771.001550,75885.000,10415,2,GX,1,100,22.552
1760380771.041549,75925.000,10415,2,GX,1,100,39.734
1760380771.081548,75965.000,10435,3,GX,1,100,29.297
1760380771.121547,76005.000,10435,3,GX,1,100,8.698
1760380771.161546,76045.000,10435,3,GX,1,100,-32.806
1760380771.201545,76085.000,10449,2,GX,1,100,-53.314
1760380771.241545,76125.000,10449,2,GX,1,100,-92.926
1760380771.281544,76165.000,10466,3,GX,1,100,-93.018
1760380771.321543,76205.000,10466,3,GX,1,100,15.533
1760380771.361542,76245.000,10466,3,GX,1,100,76.050
1760380771.401541,76285.000,10482,2,GX,1,100,86.426
1760380771.441540,76325.000,10482,2,GX,1,100,86.182
1760380771.481540,76365.000,10500,3,GX,1,100,77.423
1760380771.521539,76405.000,10500,3,GX,1,100,26.367
1760380771.561538,76445.000,10500,3,GX,1,100,-14.862
1760380771.601537,76485.000,10514,2,GX,1,100,-60.425
1760380771.641536,76525.000,10514,2,GX,1,100,7.690
1760380771.681535,76565.000,10531,3,GX,1,100,79.620
1760380771.721535,76605.000,10531,3,GX,1,100,84.229
1760380771.761534,76645.000,10531,3,GX,1,100,79.681
1760380771.801533,76685.000,10548,2,GX,1,100,62.958
1760380771.841532,76725.000,10548,2,GX,1,100,30.029
1760380771.881531,76765.000,10565,3,GX,1,100,1.770
1760380771.921530,76805.000,10565,3,GX,1,100,-43.549
1760380771.961530,76845.000,10565,3,GX,1,100,-50.690
1760380772.001529,76885.000,10580,2,GX,1,100,20.325
1760380772.041528,76925.000,10580,2,GX,1,100,68.665
1760380772.076861,76960.333,10599,3,GX,1,100,54.871
1760380772.112193,76995.667,10599,3,GX,1,100,21.088
1760380772.147526,77031.000,10599,3,GX,1,100,-9.247
1760380772.187525,77071.000,10617,3,GX,1,100,-19.867
1760380772.227524,77111.000,10617,3,GX,1,100,-22.034
1760380772.267524,77151.000,10617,3,GX,1,100,-31.128
1760380772.307523,77191.000,10634,2,GX,1,100,-11.841
1760380772.347522,77231.000,10634,2,GX,1,100,64.270
1760380772.387521,77271.000,10651,3,GX,1,100,87.555
1760380772.427520,77311.000,10651,3,GX,1,100,71.045
1760380772.467519,77351.000,10651,3,GX,1,100,56.274
1760380772.507519,77391.000,10668,2,GX,1,100,27.954
1760380772.547518,77431.000,10668,2,GX,1,100,-17.731
1760380772.587517,77471.000,10684,3,GX,1,100,-98.816
1760380772.627516,77511.000,10684,3,GX,1,100,-120.575
1760380772.667515,77551.000,10684,3,GX,1,100,-67.535
1760380772.707514,77591.000,10703,2,GX,1,100,31.464
1760380772.747514,77631.000,10703,2,GX,1,100,52.826
1760380772.787513,77671.000,10720,3,GX,1,100,27.924
1760380772.827512,77711.000,10720,3,GX,1,100,-0.885
1760380772.867511,77751.000,10720,3,GX,1,100,-14.862
1760380772.907510,77791.000,10735,3,GX,1,100,-6.897
1760380772.947509,77831.000,10735,3,GX,1,100,14.282
1760380772.987509,77871.000,10735,3,GX,1,100,28.503
1760380773.027508,77911.000,10751,2,GX,1,100,60.669
1760380773.067507,77951.000,10751,2,GX,1,100,102.142
1760380773.107506,77991.000,10769,3,GX,1,100,82.886
1760380773.147505,78031.000,10769,3,GX,1,100,43.732
1760380773.187504,78071.000,10769,3,GX,1,100,14.526
1760380773.227504,78111.000,10787,2,GX,1,100,-11.230
1760380773.267503,78151.000,10787,2,GX,1,100,-61.859
1760380773.307502,78191.000,10802,3,GX,1,100,-94.788
1760380773.347501,78231.000,10802,3,GX,1,100,-84.381
1760380773.387500,78271.000,10802,3,GX,1,100,-5.249
1760380773.427499,78311.000,10819,2,GX,1,100,25.452
1760380773.467499,78351.000,10819,2,GX,1,100,-10.864
1760380773.507498,78391.000,10836,3,GX,1,100,-32.318
1760380773.547497,78431.000,10836,3,GX,1,100,-35.950
1760380773.587496,78471.000,10836,3,GX,1,100,-21.179
1760380773.627495,78511.000,10852,2,GX,1,100,3.784
1760380773.667495,78551.000,10852,2,GX,1,100,2.380
1760380773.707494,78591.000,10867,3,GX,1,100,31.372
1760380773.747493,78631.000,10867,3,GX,1,100,80.231
1760380773.787492,78671.000,10867,3,GX,1,100,72.357
1760380773.827491,78711.000,10891,3,GX,1,100,54.260
1760380773.867490,78751.000,10891,3,GX,1,100,46.082
1760380773.907490,78791.000,10891,3,GX,1,100,24.597
1760380773.947489,78831.000,10908,2,GX,1,100,-33.478
1760380773.987488,78871.000,10908,2,GX,1,100,-99.487
1760380774.027487,78911.000,10924,3,GX,1,100,-102.722
1760380774.067486,78951.000,10924,3,GX,1,100,-44.556
1760380774.107485,78991.000,10924,3,GX,1,100,23.224
1760380774.147485,79031.000,10944,2,GX,1,100,27.344
1760380774.187484,79071.000,10944,2,GX,1,100,-3.784
1760380774.227483,79111.000,10958,3,GX,1,100,-23.651
1760380774.267482,79151.000,10958,3,GX,1,100,-18.005
1760380774.307481,79191.000,10958,3,GX,1,100,16.083
1760380774.347480,79231.000,10975,2,GX,1,100,20.294
1760380774.387480,79271.000,10975,2,GX,1,100,24.963
1760380774.427479,79311.000,10994,3,GX,1,100,61.401
1760380774.467478,79351.000,10994,3,GX,1,100,64.178
1760380774.507477,79391.000,10994,3,GX,1,100,48.126
1760380774.547476,79431.000,11011,2,GX,1,100,39.093
