LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1760386115.686418,1981502.000,64210,2,MZ,1,100,18
1760386115.726417,1981542.000,64228,3,MZ,1,100,19
1760386115.766416,1981582.000,64228,3,MZ,1,100,20
1760386115.806416,1981622.000,64228,3,MZ,1,100,19
1760386115.846415,1981662.000,64244,2,MZ,1,100,19
1760386115.886415,1981702.000,64244,2,MZ,1,100,20
1760386115.926414,1981742.000,64265,3,MZ,1,100,19
1760386115.966413,1981782.000,64265,3,MZ,1,100,19
1760386116.006413,1981822.000,64265,3,MZ,1,100,19
1760386116.046412,1981862.000,64279,2,MZ,1,100,18
1760386116.086412,1981902.000,64279,2,MZ,1,100,18
1760386116.126411,1981942.000,64299,3,MZ,1,100,18
1760386116.166410,1981982.000,64299,3,MZ,1,100,19
1760386116.206410,1982022.000,64299,3,MZ,1,100,19
1760386116.246409,1982062.000,64318,3,MZ,1,100,21
1760386116.286409,1982102.000,64318,3,MZ,1,100,20
1760386116.326408,1982142.000,64318,3,MZ,1,100,21
1760386116.366408,1982182.000,64337,3,MZ,1,100,20
1760386116.406407,1982222.000,64337,3,MZ,1,100,19
1760386116.446406,1982262.000,64337,3,MZ,1,100,19
1760386116.486406,1982302.000,64354,3,MZ,1,100,20
1760386116.526405,1982342.000,64354,3,MZ,1,100,19
1760386116.566405,1982382.000,64354,3,MZ,1,100,21
1760386116.599404,1982415.000,64370,2,MZ,1,100,19
1760386116.632404,1982448.000,64370,2,MZ,1,100,19
1760386116.672403,1982488.000,64385,3,MZ,1,100,18
1760386116.712403,1982528.000,64385,3,MZ,1,100,17
1760386116.752402,1982568.000,64385,3,MZ,1,100,17
1760386116.792402,1982608.000,64405,2,MZ,1,100,18
1760386116.832401,1982648.000,64405,2,MZ,1,100,18
1760386116.872400,1982688.000,64421,3,MZ,1,100,17
1760386116.912400,1982728.000,64421,3,MZ,1,100,19
1760386116.952399,1982768.000,64421,3,MZ,1,100,18
1760386116.992399,1982808.000,64437,2,MZ,1,100,19
1760386117.032398,1982848.000,64437,2,MZ,1,100,20
1760386117.072397,1982888.000,64453,3,MZ,1,100,21
1760386117.112397,1982928.000,64453,3,MZ,1,100,22
1760386117.152396,1982968.000,64453,3,MZ,1,100,20
1760386117.192396,1983008.000,64472,3,MZ,1,100,19
1760386117.232395,1983048.000,64472,3,MZ,1,100,19
1760386117.272394,1983088.000,64472,3,MZ,1,100,18
1760386117.312394,1983128.000,64488,2,MZ,1,100,18
1760386117.352393,1983168.000,64488,2,MZ,1,100,19
1760386117.392393,1983208.000,64506,3,MZ,1,100,20
1760386117.432392,1983248.000,64506,3,MZ,1,100,19
1760386117.472392,1983288.000,64506,3,MZ,1,100,19
1760386117.512391,1983328.000,64520,2,MZ,1,100,19
1760386117.552391,1983368.000,64520,2,MZ,1,100,19
1760386117.592390,1983408.000,64537,3,MZ,1,100,20
1760386117.632389,1983448.000,64537,3,MZ,1,100,18
1760386117.672389,1983488.000,64537,3,MZ,1,100,18
1760386117.712388,1983528.000,64555,2,MZ,1,100,18
1760386117.752388,1983568.000,64555,2,MZ,1,100,17
1760386117.792387,1983608.000,64573,3,MZ,1,100,19
1760386117.832386,1983648.000,64573,3,MZ,1,100,20
1760386117.872386,1983688.000,64573,3,MZ,1,100,19
1760386117.912385,1983728.000,64587,2,MZ,1,100,20
1760386117.952385,1983768.000,64587,2,MZ,1,100,21
1760386117.992384,1983808.000,64604,3,MZ,1,100,19
1760386118.032383,1983848.000,64604,3,MZ,1,100,19
