LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1760380190.136119,205009.667,32050,3,AX,1,100,-0.009
1760380190.171452,205045.000,32050,3,AX,1,100,-0.013
1760380190.211453,205085.000,32066,2,AX,1,100,-0.006
1760380190.251453,205125.000,32066,2,AX,1,100,-0.023
1760380190.291454,205165.000,32083,3,AX,1,100,-0.027
1760380190.331454,205205.000,32083,3,AX,1,100,-0.005
1760380190.371454,205245.000,32083,3,AX,1,100,-0.012
1760380190.411955,205285.500,32102,2,AX,1,100,-0.018
1760380190.452456,205326.000,32102,2,AX,1,100,-0.021
1760380190.492122,205365.667,32117,3,AX,1,100,-0.025
1760380190.531790,205405.333,32117,3,AX,1,100,-0.019
1760380190.571457,205445.000,32117,3,AX,1,100,-0.032
1760380190.611457,205485.000,32133,2,AX,1,100,-0.037
1760380190.651458,205525.000,32133,2,AX,1,100,-0.029
1760380190.691458,205565.000,32150,3,AX,1,100,-0.018
1760380190.731458,205605.000,32150,3,AX,1,100,-0.033
1760380190.771459,205645.000,32150,3,AX,1,100,-0.039
1760380190.811459,205685.000,32169,2,AX,1,100,-0.027
1760380190.851460,205725.000,32169,2,AX,1,100,-0.028
1760380190.891460,205765.000,32184,3,AX,1,100,-0.015
1760380190.931461,205805.000,32184,3,AX,1,100,-0.010
1760380190.971461,205845.000,32184,3,AX,1,100,-0.021
1760380191.011461,205885.000,32200,2,AX,1,100,-0.011
1760380191.051462,205925.000,32200,2,AX,1,100,0.005
1760380191.091462,205965.000,32218,3,AX,1,100,0.024
1760380191.131463,206005.000,32218,3,AX,1,100,0.012
1760380191.171463,206045.000,32218,3,AX,1,100,0.010
1760380191.211464,206085.000,32234,3,AX,1,100,0.026
1760380191.251464,206125.000,32234,3,AX,1,100,0.015
1760380191.291465,206165.000,32234,3,AX,1,100,0.042
1760380191.331465,206205.000,32251,2,AX,1,100,0.020
1760380191.371466,206245.000,32251,2,AX,1,100,0.035
1760380191.411466,206285.000,32273,3,AX,1,100,0.031
1760380191.451467,206325.000,32273,3,AX,1,100,0.046
1760380191.491467,206365.000,32273,3,AX,1,100,0.057
1760380191.531467,206405.000,32290,2,AX,1,100,0.029
1760380191.571468,206445.000,32290,2,AX,1,100,0.016
1760380191.611468,206485.000,32306,3,AX,1,100,0.017
1760380191.651469,206525.000,32306,3,AX,1,100,0.020
1760380191.691469,206565.000,32306,3,AX,1,100,0.024
1760380191.731470,206605.000,32323,2,AX,1,100,0.019
1760380191.771470,206645.000,32323,2,AX,1,100,0.026
1760380191.811471,206685.000,32340,3,AX,1,100,0.016
1760380191.851471,206725.000,32340,3,AX,1,100,0.029
1760380191.891471,206765.000,32340,3,AX,1,100,0.030
1760380191.931472,206805.000,32357,2,AX,1,100,0.023
1760380191.971472,206845.000,32357,2,AX,1,100,0.027
1760380192.011473,206885.000,32375,3,AX,1,100,0.020
1760380192.051473,206925.000,32375,3,AX,1,100,0.028
1760380192.091474,206965.000,32375,3,AX,1,100,0.029
1760380192.131474,207005.000,32392,2,AX,1,100,0.034
1760380192.171474,207045.000,32392,2,AX,1,100,0.030
1760380192.211475,207085.000,32409,3,AX,1,100,0.030
1760380192.251475,207125.000,32409,3,AX,1,100,0.031
1760380192.291476,207165.000,32409,3,AX,1,100,0.020
1760380192.331476,207205.000,32428,3,AX,1,100,0.031
1760380192.371477,207245.000,32428,3,AX,1,100,0.035
1760380192.411477,207285.000,32428,3,AX,1,100,0.039
1760380192.451478,207325.000,32445,2,AX,1,100,0.029
1760380192.491478,207365.000,32445,2,AX,1,100,0.031
1760380192.531478,207405.000,32462,3,AX,1,100,0.030
1760380192.571479,207445.000,32462,3,AX,1,100,0.036
1760380192.611479,207485.000,32462,3,AX,1,100,0.031
1760380192.651480,207525.000,32478,2,AX,1,100,0.038
1760380192.691480,207565.000,32478,2,AX,1,100,0.038
1760380192.731481,207605.000,32496,3,AX,1,100,0.028
1760380192.771481,207645.000,32496,3,AX,1,100,0.022
1760380192.811481,207685.000,32496,3,AX,1,100,0.034
1760380192.851482,207725.000,32514,2,AX,1,100,0.037
1760380192.891482,207765.000,32514,2,AX,1,100,0.039
1760380192.931483,207805.000,32533,3,AX,1,100,0.031
1760380192.971483,207845.000,32533,3,AX,1,100,0.022
1760380193.011484,207885.000,32533,3,AX,1,100,0.034
1760380193.051484,207925.000,32547,2,AX,1,100,0.024
1760380193.091485,207965.000,32547,2,AX,1,100,0.027
1760380193.131485,208005.000,32565,3,AX,1,100,0.023
1760380193.171485,208045.000,32565,3,AX,1,100,0.037
1760380193.211486,208085.000,32565,3,AX,1,100,0.034
1760380193.251486,208125.000,32581,2,AX,1,100,0.021
1760380193.291487,208165.000,32581,2,AX,1,100,0.030
