LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1760385037.982593,903797.000,15541,2,MZ,1,100,13
1760385038.022593,903837.000,15557,3,MZ,1,100,12
1760385038.062593,903877.000,15557,3,MZ,1,100,13
1760385038.102592,903917.000,15557,3,MZ,1,100,15
1760385038.142592,903957.000,15572,2,MZ,1,100,13
1760385038.182592,903997.000,15572,2,MZ,1,100,12
1760385038.222592,904037.000,15590,3,MZ,1,100, 9
1760385038.262592,904077.000,15590,3,MZ,1,100, 8
1760385038.302592,904117.000,15590,3,MZ,1,100, 7
1760385038.342592,904157.000,15608,2,MZ,1,100, 7
1760385038.382591,904197.000,15608,2,MZ,1,100, 5
1760385038.422591,904237.000,15627,3,MZ,1,100, 5
1760385038.462591,904277.000,15627,3,MZ,1,100, 3
1760385038.502591,904317.000,15627,3,MZ,1,100, 4
1760385038.542591,904357.000,15642,2,MZ,1,100, 3
1760385038.582591,904397.000,15642,2,MZ,1,100, 3
1760385038.622591,904437.000,15659,3,MZ,1,100, 3
1760385038.662591,904477.000,15659,3,MZ,1,100, 1
1760385038.702591,904517.000,15659,3,MZ,1,100, 3
1760385038.742590,904557.000,15675,3,MZ,1,100, 2
1760385038.782590,904597.000,15675,3,MZ,1,100, 4
1760385038.822590,904637.000,15675,3,MZ,1,100, 3
1760385038.862590,904677.000,15693,2,MZ,1,100, 4
1760385038.902590,904717.000,15693,2,MZ,1,100, 6
1760385038.942590,904757.000,15707,3,MZ,1,100, 5
1760385038.982590,904797.000,15707,3,MZ,1,100, 5
1760385039.022590,904837.000,15707,3,MZ,1,100, 8
1760385039.062590,904877.000,15728,2,MZ,1,100, 8
1760385039.102589,904917.000,15728,2,MZ,1,100,10
1760385039.142589,904957.000,15744,3,MZ,1,100,11
1760385039.182589,904997.000,15744,3,MZ,1,100,13
1760385039.222589,905037.000,15744,3,MZ,1,100,13
1760385039.262589,905077.000,15762,2,MZ,1,100,14
1760385039.302589,905117.000,15762,2,MZ,1,100,12
1760385039.337922,905152.333,15776,3,MZ,1,100,13
1760385039.373255,905187.667,15776,3,MZ,1,100,13
1760385039.408589,905223.000,15776,3,MZ,1,100,12
1760385039.448588,905263.000,15793,3,MZ,1,100,13
1760385039.488588,905303.000,15793,3,MZ,1,100,13
1760385039.528588,905343.000,15793,3,MZ,1,100,11
1760385039.568588,905383.000,15810,2,MZ,1,100, 9
1760385039.608588,905423.000,15810,2,MZ,1,100, 7
1760385039.648588,905463.000,15829,3,MZ,1,100, 8
1760385039.688588,905503.000,15829,3,MZ,1,100, 6
1760385039.728588,905543.000,15829,3,MZ,1,100, 6
1760385039.768588,905583.000,15845,2,MZ,1,100, 4
1760385039.808587,905623.000,15845,2,MZ,1,100, 4
1760385039.848587,905663.000,15863,3,MZ,1,100, 3
1760385039.888587,905703.000,15863,3,MZ,1,100, 2
1760385039.928587,905743.000,15863,3,MZ,1,100, 3
1760385039.968587,905783.000,15879,2,MZ,1,100, 1
1760385040.008587,905823.000,15879,2,MZ,1,100, 3
1760385040.048587,905863.000,15896,3,MZ,1,100, 3
1760385040.088587,905903.000,15896,3,MZ,1,100, 3
1760385040.128587,905943.000,15896,3,MZ,1,100, 3
1760385040.168586,905983.000,15911,2,MZ,1,100, 3
1760385040.208586,906023.000,15911,2,MZ,1,100, 4
1760385040.248586,906063.000,15928,3,MZ,1,100, 4
1760385040.288586,906103.000,15928,3,MZ,1,100, 6
1760385040.328586,906143.000,15928,3,MZ,1,100, 7
1760385040.368586,906183.000,15948,2,MZ,1,100, 8
1760385040.408586,906223.000,15948,2,MZ,1,100, 9
1760385040.448586,906263.000,15965,3,MZ,1,100,11
1760385040.488585,906303.000,15965,3,MZ,1,100,13
1760385040.528585,906343.000,15965,3,MZ,1,100,12
1760385040.568585,906383.000,15982,3,MZ,1,100,13
1760385040.608585,906423.000,15982,3,MZ,1,100,15
1760385040.648585,906463.000,15982,3,MZ,1,100,15
1760385040.688585,906503.000,15997,2,MZ,1,100,15
1760385040.728585,906543.000,15997,2,MZ,1,100,14
